,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,7,86,86,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, улица Гарибальди, дом 30А",Обручевский район,Юго-Западный административный округ,37.55159372448871,55.66940152634629,1904330.672936512,6402436.935872153
1,9,92,92,Цветы Мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, Ленинский проспект, дом 99",Обручевский район,Юго-Западный административный округ,37.518951193190865,55.66875073300995,1902365.2923942315,6401685.0065473085
2,11,164,164,Мосцветторг,Магазин «Цветы»,Мосцветторг,да,реализация непродовольственных товаров,"город Москва, улица Красного Маяка, дом 2",район Чертаново Центральное,Южный административный округ,37.601785787455796,55.611864077167276,1909521.412579274,6397283.572146293
3,18,293,293,Цветочный ряд,Магазин «Цветы»,Цветочный ряд,да,реализация непродовольственных товаров,"город Москва, Абельмановская улица, дом 3",Таганский район,Центральный административный округ,37.67284479008379,55.73762860411329,1909180.5013526368,6412331.75594745
4,28,481,481,Росцветторг,Магазин «Цветы»,Росцветторг,да,реализация непродовольственных товаров,"город Москва, Ангарская улица, дом 37/18",Дмитровский район,Северный административный округ,37.523609224109826,55.87898555718462,1894876.7154241009,6424448.045547145
5,32,510,510,Магазин «Цветочный ряд»,Магазин «Цветы»,Цветочный ряд,да,реализация непродовольственных товаров,"город Москва, проспект Андропова, дом 28",район Нагатино-Садовники,Южный административный округ,37.662628386825034,55.679984020740875,1910702.8206619755,6405904.308264219
6,38,591,591,Цветы мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, улица Ивана Бабушкина, дом 13, корпус 1",Академический район,Юго-Западный административный округ,37.56225133593307,55.68568960009793,1904377.4619437943,6404415.9775442565
7,47,801,801,ЦВЕТЫ МИРА,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, улица Маршала Бирюзова, дом 22, корпус 1",район Щукино,Северо-Западный административный округ,37.48955312148674,55.79599691493019,1895878.3164964875,6414793.33832071
8,53,933,933,Много цветов,Магазин «Цветы»,Много цветов,да,реализация непродовольственных товаров,"город Москва, Бутырская улица, дом 9, корпус 2",Савёловский район,Северный административный округ,37.58304880944337,55.795196053315614,1901585.9123316675,6416655.7935284525
9,62,1054,1054,Цветы Мира,Магазин «Цветы»,Цветы мира,да,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 11/19",Ломоносовский район,Юго-Западный административный округ,37.52916678031804,55.68886806281347,1902244.6543573625,6404067.585773261
10,68,1153,1153,Цветочный ряд,Магазин «Цветы»,Цветочный ряд,да,реализация непродовольственных товаров,"город Москва, 2-я Владимирская улица, дом 38/18",район Перово,Восточный административный округ,37.784254332084934,55.75041794530924,1915474.9018694027,6416054.571026644
11,71,1196,1196,Ирис,Магазин «Цветы»,Ирис,да,реализация непродовольственных товаров,"город Москва, Волгоградский проспект, дом 1, строение 1",Таганский район,Центральный административный округ,37.67177630586279,55.73304208381688,1909286.199094205,6411815.028248698
12,84,1502,1502,Росцветторг,Магазин «Цветы»,Росцветторг,да,реализация непродовольственных товаров,"город Москва, улица Грекова, дом 10",район Северное Медведково,Северо-Восточный административный округ,37.66252447214249,55.888605956385355,1902933.362325214,6428383.648902859
