,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,1,10,10,Л'Этуаль,Магазин «Промтовары»,Л'Этуаль,да,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 6",район Раменки,Западный административный округ,37.5283489999999,55.6923049999999,1902067.8484502072,6404421.126142881
1,3,98,98,Подружка,Магазин «Промтовары»,Подружка,да,реализация непродовольственных товаров,"город Москва, Чертановская улица, дом 32, строение 1",район Чертаново Центральное,Южный административный округ,37.591651342219045,55.61859421107524,1908653.666919538,6397796.818649189
2,5,281,281,Магнит Косметик,Магазин «Промтовары»,Магнит,да,реализация непродовольственных товаров,"город Москва, улица Лефортовский Вал, дом 7",район Лефортово,Юго-Восточный административный округ,37.70236779347697,55.75971455078106,1910152.414822434,6415331.934052117
3,17,636,636,Fix price,Магазин «Промтовары»,Fix Price,да,реализация непродовольственных товаров,"город Москва, Байкальская улица, дом 37",район Гольяново,Восточный административный округ,37.81443253774092,55.817734318853645,1914785.9974123756,6423942.35093782
4,19,649,649,Магазин «Спецодежда»,Магазин «Промтовары»,Спецодежда,да,реализация непродовольственных товаров,"город Москва, Бакинская улица, дом 13",район Царицыно,Южный административный округ,37.657725603664424,55.621389184393166,1912581.374758569,6399484.945267886
5,35,931,931,Комус,Магазин «Промтовары»,Комус,да,реализация непродовольственных товаров,"город Москва, Бутырская улица, дом 7",Савёловский район,Северный административный округ,37.58387830286943,55.79436893666154,1901666.950446813,6416583.96921659
6,37,945,945,Л'Этуаль (L'ETOILE),Магазин «Промтовары»,Л'Этуаль,да,реализация непродовольственных товаров,"город Москва, Бутырская улица, дом 97",Савёловский район,Северный административный округ,37.579384877229536,55.80753161051427,1900906.0855287188,6417908.865645992
7,39,969,969,Императорский фарфор,Магазин «Промтовары»,Императорский фарфор,да,реализация непродовольственных товаров,"город Москва, Валовая улица, дом 8/18",район Замоскворечье,Центральный административный округ,37.6315068790561,55.73084467519738,1906918.8470700718,6410733.488250739
8,43,1036,1036,Магнит,Магазин «Промтовары»,Магнит,да,реализация непродовольственных товаров,"город Москва, Велозаводская улица, дом 3/2",Южнопортовый район,Юго-Восточный административный округ,37.66441019198812,55.71758405622897,1909413.199921727,6409994.388844019
9,64,1600,1600,Стильные кухни,Магазин «Промтовары»,Стильные кухни,да,реализация непродовольственных товаров,"город Москва, Дмитровское шоссе, дом 21, корпус 2",Тимирязевский район,Северный административный округ,37.57186023819021,55.823113506614725,1899871.7445073337,6419431.266107158
10,68,1772,1772,Южный двор,Магазин «Промтовары»,Южный двор,да,реализация непродовольственных товаров,"город Москва, 1-я Дубровская улица, дом 5",Таганский район,Центральный административный округ,37.67025047351613,55.72706251239525,1909415.8851823532,6411138.556141922
11,74,2039,2039,Южный двор,Магазин «Промтовары»,Южный двор,да,реализация непродовольственных товаров,"город Москва, улица Большие Каменщики, дом 21/8",Таганский район,Центральный административный округ,37.65746117396159,55.7355856167673,1908321.0858818882,6411788.708483979
12,75,2084,2084,Подружка,Магазин «Промтовары»,Подружка,да,реализация непродовольственных товаров,"город Москва, Каргопольская улица, дом 14, корпус 1",район Отрадное,Северо-Восточный административный округ,37.592999248308736,55.86367350761618,1899649.00579149,6424243.801428532
13,82,2188,2188,Императорский фарфор,Магазин «Промтовары»,Императорский фарфор,да,реализация непродовольственных товаров,"город Москва, Мясницкая улица, дом 40А",Басманный район,Центральный административный округ,37.640637829047286,55.766471824108784,1906150.2439707224,6414764.73174947
14,84,2251,2251,Roomers,Магазин «Промтовары»,Roomers,да,реализация непродовольственных товаров,"город Москва, Малая Сухаревская площадь, дом 2/4",Мещанский район,Центральный административный округ,37.6285628876615,55.77290784630088,1905177.475720213,6415205.441079168
15,94,2523,2523,Комус,Магазин «Промтовары»,Комус,да,реализация непродовольственных товаров,"город Москва, Верхняя Красносельская улица, дом 34",Красносельский район,Центральный административный округ,37.66474443245907,55.780128258524904,1907106.7172874412,6416741.81404464
16,102,2811,2811,Серебряный мир,Магазин «Промтовары»,Серебряный мир,да,реализация непродовольственных товаров,"город Москва, Ленинградское шоссе, дом 17/1",Войковский район,Северный административный округ,37.49530800504425,55.8211790905801,1895297.7652784025,6417628.006653562
17,111,2924,2924,Кухни Мария,Магазин «Промтовары»,Кухни Мария,да,реализация непродовольственных товаров,"город Москва, Ленинский проспект, дом 62/1",Гагаринский район,Юго-Западный административный округ,37.55448890914677,55.694024663113595,1903596.2839711504,6405152.435713416
18,116,2962,2962,МОСХОЗТОРГ (+реализация цветочной продукции),Магазин «Промтовары»,МОСХОЗТОРГ,да,реализация непродовольственных товаров,"город Москва, Ленинский проспект, дом 75/9",Гагаринский район,Юго-Западный административный округ,37.544839767587035,55.686882850186684,1903272.7305514768,6404180.785308862
19,117,2963,2963,Ларес,Магазин «Промтовары»,Ларес,да,реализация непродовольственных товаров,"город Москва, Ленинский проспект, дом 75/9",Гагаринский район,Юго-Западный административный округ,37.54496861073864,55.68697438354535,1903277.1943002641,6404193.346404987
20,118,2998,2998,МОСХОЗТОРГ (+реализация цветочной продукции),Магазин «Промтовары»,МОСХОЗТОРГ,да,реализация непродовольственных товаров,"город Москва, Ленинский проспект, дом 91",Ломоносовский район,Юго-Западный административный округ,37.52932348144837,55.67634291659292,1902716.9794192738,6402720.232541813
21,124,3222,3222,Мобил Элемент,Магазин «Промтовары»,Мобил Элемент,да,реализация непродовольственных товаров,"город Москва, улица Нижняя Масловка, дом 18",Савёловский район,Северный административный округ,37.57192225535713,55.79191124387176,1901032.015039411,6416069.361863958
22,125,3228,3228,Комус,Магазин «Промтовары»,Комус,да,реализация непродовольственных товаров,"город Москва, улица Мастеркова, дом 3",Даниловский район,Южный административный округ,37.65845693087973,55.708695315886146,1909381.487419584,6408911.383488345
