,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,655,655,Азбука вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Бакунинская улица, дом 26-30, строение 1",Басманный район,Центральный административный округ,37.683804209272594,55.7746551053594,1908468.060901373,6416551.953176325
1,1699,1699,АЗБУКА ВКУСА,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Большая Дорогомиловская улица, дом 16",район Дорогомилово,Западный административный округ,37.5575383628894,55.74674019465357,1901831.01445456,6410899.628722208
2,2023,2023,Супермаркет «Азбука Вкуса»,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Ленинский проспект, дом 21",Донской район,Южный административный округ,37.59622115620538,55.718029286424674,1905247.7337071262,6408613.098158822
3,2099,2099,Азбука Вкуса,Универсам,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Старая Басманная улица, дом 28/2",Басманный район,Центральный административный округ,37.66780101651767,55.768037453567906,1907742.3296430355,6415502.983580887
4,2293,2293,Азбука Вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Комсомольский проспект, дом 34",район Хамовники,Центральный административный округ,37.577295749920175,55.724325908175615,1903862.825184834,6408896.027029331
5,2623,2623,Азбука Вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Кутузовский проспект, дом 8",район Дорогомилово,Западный административный округ,37.56051358396253,55.749178265255956,1901921.666004452,6411224.595993263
6,2818,2818,Азбука вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Ленинградское шоссе, дом 46",Войковский район,Северный административный округ,37.486419319975184,55.83408485196236,1894281.712856907,6418834.582418695
7,2885,2885,Азбука вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Ленинский проспект, дом 34/1",Гагаринский район,Юго-Западный административный округ,37.5772597114239,55.706773612817976,1904510.796670944,6407002.987154794
8,3300,3300,Магазин «Азбука Вкуса»,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Минская улица, дом 14, корпус 1",район Филёвский Парк,Западный административный округ,37.48575321580531,55.73780054717105,1897795.159988125,6408439.205437241
9,3339,3339,Азбука Вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, проспект Мира, дом 58",Мещанский район,Центральный административный округ,37.63604960889645,55.78540087846262,1905167.9980194215,6416708.644850663
10,3363,3363,Магазин «АЗБУКА ВКУСА»,Универсам,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, проспект Мира, дом 97",Останкинский район,Северо-Восточный административный округ,37.63638036712005,55.8092095009948,1904303.0843166327,6419281.370863018
11,3494,3494,Азбука Вкуса,Супермаркет,Азбука Вкуса,да,реализация продовольственных товаров,"город Москва, Можайское шоссе, дом 32",Можайский район,Западный административный округ,37.4191,55.719702000000005,1894405.2840843862,6405101.910334283
