,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,46,46,ВкусВилл,Магазин «Продукты»,ВкусВилл,да,реализация продовольственных товаров,"город Москва, город Зеленоград, корпус 1634, строение 3",район Крюково,Зеленоградский административный округ,37.156864999,55.976085999999995,1869108.7340865098,6427360.069820931
1,63,63,Магнит,Магазин «Продукты»,Магнит,да,реализация продовольственных товаров,"город Москва, улица Короленко, дом 7, корпус 1",район Сокольники,Восточный административный округ,37.693537864422545,55.79559269786984,1908279.0114169128,6419012.386151273
2,69,69,БЛИЖНИЕ ГОРКИ,Магазин «Продукты»,Ближние горки,да,реализация продовольственных товаров,"город Москва, Большая Дорогомиловская улица, дом 10",район Дорогомилово,Западный административный округ,37.562914344771976,55.746295240826704,1902174.3959676132,6410963.928085166
3,81,81,Добрынинский и партнёры,Магазин «Продукты»,Добрынинский и партнёры,да,реализация продовольственных товаров,"город Москва, улица Новинки, дом 1",район Нагатинский Затон,Южный административный округ,37.666439402533705,55.677552085526656,1911025.3430128829,6405722.231494366
4,100,100,Подворье,Магазин «Продукты»,Подворье,да,реализация продовольственных товаров,"город Москва, Бескудниковский бульвар, дом 56, корпус 1",Бескудниковский район,Северный административный округ,37.536464133626154,55.87399853680262,1895840.236220944,6424178.037147883
5,109,109,ВкусВилл,Магазин «Продукты»,ВкусВилл,да,реализация продовольственных товаров,"город Москва, Совхозная улица, дом 41",район Люблино,Юго-Восточный административный округ,37.760329745188926,55.67432321313533,1916863.5893075003,6407351.1053856425
6,110,110,ВкусВилл,Магазин «Продукты»,ВкусВилл,да,реализация продовольственных товаров,"город Москва, город Московский, Радужная улица, дом 14, корпус 2",поселение Московский,Новомосковский административный округ,37.373087977333256,55.58957404611823,1896375.799535694,6390108.084043237
7,119,119,ВкусВилл,Магазин «Продукты»,ВкусВилл,да,реализация продовольственных товаров,"город Москва, Славянский бульвар, дом 5, корпус 2",район Фили-Давыдково,Западный административный округ,37.47214873873045,55.725859810492295,1897407.701840896,6406868.437039018
8,120,120,Избенка,Магазин «Продукты»,Избенка,да,реализация продовольственных товаров,"город Москва, Минская улица, дом 9",район Фили-Давыдково,Западный административный округ,37.48433500148361,55.73750682237155,1897719.7141469696,6408378.013378079
9,138,138,ВкусВилл,Магазин «Продукты»,ВкусВилл,да,реализация продовольственных товаров,"город Москва, Зелёный проспект, дом 24Г",район Новогиреево,Восточный административный округ,37.789446999999996,55.75119300000001,1915761.401747151,6416247.632826119
10,159,159,Добрынинский и партнёры,Магазин «Продукты»,Добрынинский и партнёры,да,реализация продовольственных товаров,"город Москва, улица 10-летия Октября, дом 9",район Хамовники,Центральный административный округ,37.56311017972957,55.725537896071465,1902954.8362996785,6408730.208119549
11,180,180,У Палыча,Магазин «Продукты»,У Палыча,да,реализация продовольственных товаров,"город Москва, Минская улица, дом 9",район Фили-Давыдково,Западный административный округ,37.48433500148361,55.73750682237155,1897719.7141469696,6408378.013378079
12,188,188,ВкусВилл,Магазин «Продукты»,ВкусВилл,да,реализация продовольственных товаров,"город Москва, Рязанский проспект, дом 75Б, сооружение 1",Рязанский район,Юго-Восточный административный округ,37.793339,55.717884746364994,1917244.1774987408,6412741.47254137
13,223,223,ВкусВилл,Магазин «Продукты»,ВкусВилл,да,реализация продовольственных товаров,"город Москва, Щербаковская улица, дом 35",район Соколиная Гора,Восточный административный округ,37.705059000000006,55.781691,1909496.6608853475,6417756.478806004
14,350,350,Избенка,Магазин «Продукты»,Избенка,да,реализация продовольственных товаров,"город Москва, улица Авиаторов, дом 14",поселение Щербинка,Новомосковский административный округ,37.53332557857063,55.51399463127697,1908955.384245836,6385293.918428657
15,360,360,Белорусский фермер,Магазин «Продукты»,Белорусский фермер,да,реализация продовольственных товаров,"город Москва, Автозаводская улица, дом 5",Даниловский район,Южный административный округ,37.66240762339839,55.70861831952828,1909624.767432672,6408986.020503988
16,378,378,ВкусВилл,Магазин «Продукты»,ВкусВилл,да,реализация продовольственных товаров,"город Москва, Азовская улица, дом 3",район Зюзино,Юго-Западный административный округ,37.60570690850896,55.662298791972866,1907891.49121439,6402803.612440743
17,448,448,Дикси,Магазин «Продукты»,Дикси,да,реализация продовольственных товаров,"город Москва, улица Амундсена, дом 1, корпус 1",район Свиблово,Северо-Восточный административный округ,37.65850977260128,55.84982444412096,1904134.2978789557,6424121.228148692
18,453,453,Рублевский,Магазин «Продукты»,Рублевский,да,реализация продовольственных товаров,"город Москва, улица Амундсена, дом 19",район Свиблово,Северо-Восточный административный округ,37.65525171566081,55.85468013403183,1903756.070925604,6424576.187667406
19,486,486,Магнолия,Магазин «Продукты»,Магнолия,да,реализация продовольственных товаров,"город Москва, улица Павла Андреева, дом 28, корпус 7",район Замоскворечье,Центральный административный округ,37.61804423446817,55.72054954911904,1906482.1050796025,6409341.701649734
20,518,518,Мясновъ,Магазин «Продукты»,Мясновъ,да,реализация продовольственных товаров,"город Москва, улица Академика Анохина, дом 26, корпус 1",район Тропарёво-Никулино,Западный административный округ,37.47246860802189,55.6619906407201,1899781.0680444029,6399986.850083077
