,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,1,1,Adidas,Магазин «Одежда»,Adidas,да,реализация непродовольственных товаров,"город Москва, Новослободская улица, дом 4",Тверской район,Центральный административный округ,37.60172128296934,55.78012903235766,1903278.8170399219,6415422.053991965
1,132,132,O'STIN (Остин одежда),Магазин «Одежда»,O'stin,да,реализация непродовольственных товаров,"город Москва, Солнцевский проспект, дом 21",район Солнцево,Западный административный округ,37.41172196391271,55.647047322453396,1896625.9794204938,6397111.372790418
2,137,137,Твое,Магазин «Одежда»,Твое,да,реализация непродовольственных товаров,"город Москва, Боровское шоссе, дом 6",район Солнцево,Западный административный округ,37.40204419054149,55.65884484480104,1895602.3498724569,6398183.129122285
3,139,139,INCITY,Магазин «Одежда»,INCITY,да,реализация непродовольственных товаров,"город Москва, Солнцевский проспект, дом 21",район Солнцево,Западный административный округ,37.41172196391271,55.647047322453396,1896625.9794204938,6397111.372790418
4,140,140,Intimissimi,Магазин «Одежда»,Intimissimi,да,реализация непродовольственных товаров,"город Москва, Солнцевский проспект, дом 21",район Солнцево,Западный административный округ,37.41172196391271,55.647047322453396,1896625.9794204938,6397111.372790418
5,141,141,Gloria Jeans,Магазин «Одежда»,Gloria Jeans,да,реализация непродовольственных товаров,"город Москва, Боровское шоссе, дом 6",район Солнцево,Западный административный округ,37.40204419054149,55.65884484480104,1895602.3498724569,6398183.129122285
6,185,185,Фамилия,Магазин «Одежда»,Фамилия,да,реализация непродовольственных товаров,"город Москва, Тушинская улица, дом 16",район Покровское-Стрешнево,Северо-Западный административный округ,37.44491066799829,55.827381598342704,1892010.12993515,6417249.979332507
7,186,186,O'STIN,Магазин «Одежда»,O'stin,да,реализация непродовольственных товаров,"город Москва, Тушинская улица, дом 16",район Покровское-Стрешнево,Северо-Западный административный округ,37.44491066799829,55.827381598342704,1892010.12993515,6417249.979332507
8,263,263,Твое,Магазин «Одежда»,Твое,да,реализация непродовольственных товаров,"город Москва, поселение Московский, деревня Говорово, дом 1Б/Н",поселение Московский,Новомосковский административный округ,37.429995,55.65884499999999,1897306.951519689,6398763.789358537
9,264,264,O'stin,Магазин «Одежда»,O'stin,да,реализация непродовольственных товаров,"город Москва, поселение Московский, деревня Говорово, дом 1Б/Н",поселение Московский,Новомосковский административный округ,37.429995,55.65884499999999,1897306.951519689,6398763.789358537
10,351,351,Смешные цены,Магазин «Одежда»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, улица Авиаторов, дом 14",поселение Щербинка,Новомосковский административный округ,37.53332557857063,55.51399463127697,1908955.384245836,6385293.918428657
11,412,412,Сударь,Магазин «Одежда»,Сударь,да,реализация непродовольственных товаров,"город Москва, Алтуфьевское шоссе, дом 56",Алтуфьевский район,Северо-Восточный административный округ,37.5875849999999,55.880776000000004,1898686.1373251616,6425973.84825041
12,439,439,Смешные цены,Магазин «Одежда»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, Алтуфьевское шоссе, дом 91",район Лианозово,Северо-Восточный административный округ,37.58567464503332,55.89647793577848,1897987.611484681,6427626.061250479
13,597,597,БОЛЬШЕВИЧКА,Магазин «Одежда»,Большевичка,да,реализация непродовольственных товаров,"город Москва, улица Лётчика Бабушкина, дом 9, корпус 1",Бабушкинский район,Северо-Восточный административный округ,37.673204999999996,55.860397999999996,1904631.0921533224,6425568.287716342
14,654,654,Милабель,Магазин «Одежда»,Милабель,да,реализация непродовольственных товаров,"город Москва, Бауманская улица, дом 33/2, строение 8",Басманный район,Центральный административный округ,37.680140442880045,55.7723528424033,1908331.263970576,6416226.958007041
15,656,656,СУДАРЬ,Магазин «Одежда»,Сударь,да,реализация непродовольственных товаров,"город Москва, Бакунинская улица, дом 32-36, корпус 1",Басманный район,Центральный административный округ,37.68586890557678,55.775485538439504,1908562.532229876,6416684.783420806
16,812,812,Смешные цены,Магазин «Одежда»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, улица Богданова, дом 16",район Солнцево,Западный административный округ,37.407132804107825,55.656950612795235,1895982.271593774,6398084.432674768
17,870,870,БОЛЬШЕВИЧКА,Магазин «Одежда»,Большевичка,да,реализация непродовольственных товаров,"город Москва, улица Академика Бочвара, дом 10А",район Щукино,Северо-Западный административный округ,37.45437037366453,55.803331688578794,1893470.9018639962,6414853.0847236235
18,994,994,Смешные цены,Магазин «Одежда»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, Варшавское шоссе, дом 72, корпус 3",Нагорный район,Южный административный округ,37.61842816605592,55.6563539324771,1908887.2678135876,6402429.363928732
19,1019,1019,СМЕШНЫЕ ЦЕНЫ,Магазин «Одежда»,Смешные цены,да,реализация непродовольственных товаров,"город Москва, улица Маршала Василевского, дом 17",район Щукино,Северо-Западный административный округ,37.46182536775703,55.808784998461846,1893722.556156142,6415595.895012832
20,1065,1065,Сплав,Магазин «Одежда»,Сплав,да,реализация непродовольственных товаров,"город Москва, проспект Вернадского, дом 64А",район Проспект Вернадского,Западный административный округ,37.496766071752184,55.67240471594568,1900878.2826005728,6401616.317336886
21,1099,1099,Спецодежда,Магазин «Одежда»,Спецодежда,да,реализация непродовольственных товаров,"город Москва, 1-я Владимирская улица, дом 8",район Перово,Восточный административный округ,37.77365066783748,55.75898946950146,1914510.1229909281,6416754.334043024
22,1223,1223,Пуховик Снеговик,Магазин «Одежда»,Снеговик,да,реализация непродовольственных товаров,"город Москва, Волгоградский проспект, дом 78",район Кузьминки,Юго-Восточный административный округ,37.76290555801947,55.70521207361764,1915866.7538422304,6410733.796964266
23,1436,1436,HENDERSON,Магазин «Одежда»,Henderson,да,реализация непродовольственных товаров,"город Москва, Тверская улица, дом 6, строение 1",Тверской район,Центральный административный округ,37.61127060010532,55.76042769292693,1904590.1614908816,6413498.321194586
24,1445,1445,Glenfield,Магазин «Одежда»,Glenfield,да,реализация непродовольственных товаров,"город Москва, Тверская улица, дом 12, строение 2",Тверской район,Центральный административный округ,37.60756974501491,55.76383891347662,1904238.649536352,6413788.560351778
25,1588,1588,Sela,Магазин «Одежда»,Sela,да,реализация непродовольственных товаров,"город Москва, улица 10-летия Октября, дом 9",район Хамовники,Центральный административный округ,37.562898,55.725516000000006,1902942.7369876537,6408723.414399426
