,Name,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
0,"«Дербеневская наб.», 3-й Дербеневский переулок (7)",Даниловский район,Южный административный округ,55.72566817,37.6551636,1908550.102371036,6413516.558936407
1,"«Наб. Тараса Шевченко», набережная Тараса Шевченко (11)",район Дорогомилово,Западный административный округ,55.74944352,37.57240854,1902635.0911651226,6413590.13360499
2,"«Наб. Тараса Шевченко», набережная Тараса Шевченко (12)",район Дорогомилово,Западный административный округ,55.74976112,37.57271647,1902642.0480514336,6413534.889386951
3,"«ВКНЦ», 3-я Черепковская улица (27)",район Кунцево,Западный административный округ,55.7572642,37.37550932,1890372.5072948108,6413587.337398872
4,"«Новосущевская ул.», улица Сущёвский Вал (33)",район Марьина Роща,Северо-Восточный административный округ,55.79289095,37.60337594,1902905.7164819043,6413176.232675528
5,"«Керамический пр.», Дубнинская улица (35)",район Восточное Дегунино,Северный административный округ,55.89460802,37.55724554,1896335.5317884458,6413178.195714072
6,"«Ин-т Стали», Дубнинская улица (36)",район Восточное Дегунино,Северный административный округ,55.89142924,37.55729147,1896456.1502752174,6413299.671573095
7,"«Мкр. Дубки», Дубнинская улица (37)",район Восточное Дегунино,Северный административный округ,55.88768746,37.55730686,1896595.7853695543,6413304.435253191
8,"«Д/к Юность», Дубнинская улица (38)",район Восточное Дегунино,Северный административный округ,55.88335892,37.55736439,1896759.7176553085,6413470.987731659
9,"«Баскетбольная школа», улица 800-летия Москвы (39)",район Восточное Дегунино,Северный административный округ,55.88011364,37.55636146,1896819.2486244494,6400667.360295197
10,"«Ул. 800-летия Москвы», Дмитровское шоссе (40)",Бескудниковский район,Северный административный округ,55.87767168,37.54599654,1896281.780444037,6405657.744171874
11,"«Бескудниково», Дмитровское шоссе (41)",Бескудниковский район,Северный административный округ,55.87458982,37.54704248,1896459.323407327,6405631.915718677
12,"«Селигерская ул.», Дмитровское шоссе (42)",Бескудниковский район,Северный административный округ,55.86919544,37.54674812,1896641.3193795183,6388813.760029847
13,"«Парк Святослава Федорова», Дмитровское шоссе (43)",район Западное Дегунино,Северный административный округ,55.86333482,37.54848949,1896963.9590320282,6392265.238667846
14,"«Ильменский пр.», Дмитровское шоссе (44)",район Западное Дегунино,Северный административный округ,55.86077256,37.55318989,1897343.792795017,6392262.619302419
15,"«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (45)",район Западное Дегунино,Северный административный округ,55.85821217,37.55826147,1897746.0922663766,6387464.342143277
16,"«7-й автобусный парк», Дмитровское шоссе (46)",район Западное Дегунино,Северный административный округ,55.85033933,37.56585131,1898498.0251469254,6402065.205452394
17,"«Нижн. Лихоборы», Дмитровское шоссе (47)",Тимирязевский район,Северный административный округ,55.84733792,37.5673105,1898697.7632185463,6402140.30043826
