,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,14,14,Немецкий салон « Эльза»,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, Абрамцевская улица, дом 9, корпус 1",район Лианозово,Северо-Восточный административный округ,37.572444342238306,55.903373703099504,1896930.7074282768,6428093.31652904
1,16,16,Bianca,химическая чистка и крашение,Bianca,да,бытовые услуги,"город Москва, переулок Сивцев Вражек, дом 6/2",район Арбат,Центральный административный округ,37.59812754843999,55.747390490526,1904274.92983232,6411818.04786372
2,35,35,Сервис,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, улица Авиаторов, дом 14",район Солнцево,Западный административный округ,37.3983307312142,55.6451441069756,1895878.8749493782,6396627.945488722
3,37,37,Диана Химчистка,химическая чистка и крашение,Диана,да,бытовые услуги,"город Москва, улица Авиаторов, дом 18",район Солнцево,Западный административный округ,37.399772,55.64463,1895985.6851829882,6396602.4041965185
4,120,120,ФИРМА «ХИМЧИСТКА 22»,химическая чистка и крашение,ХИМЧИСТКА 22,да,бытовые услуги,"город Москва, улица Арбат, дом 4, строение 1",район Арбат,Центральный административный округ,37.5990156320594,55.752164264713706,1904151.862353689,6412351.2032504715
5,148,148,Химчистка Диана,химическая чистка и крашение,Диана,да,бытовые услуги,"город Москва, Певческий переулок, дом 1/2, строение 1",Таганский район,Центральный административный округ,37.642215674009,55.75186059063609,1906789.1818300013,6413223.064203737
6,199,199,Химчистка «Д.Б.Т.С.»,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, улица Барклая, дом 16, корпус 1",район Филёвский Парк,Западный административный округ,37.496599200248674,55.745867477141466,1898157.221783811,6409534.86557097
7,218,218,Еврохимчистка Леда,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, Башиловская улица, дом 3, корпус 1",Савёловский район,Северный административный округ,37.576489436269,55.793925579869196,1901234.7077200243,6416381.854373083
8,244,244,Ситковская Наталья Юрьевна,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, город Зеленоград, Берёзовая аллея, дом 8",район Матушкино,Зеленоградский административный округ,37.1975358949726,55.9988831119366,1870737.0724780608,6430650.40774484
9,317,317,ФИРМА «ХИМЧИСТКА 22» (ПРИЕМНЫЙ ПУНКТ),химическая чистка и крашение,,нет,бытовые услуги,"город Москва, Брянская улица, дом 12",район Дорогомилово,Западный административный округ,37.5589681779615,55.744726349645404,1901992.5144857343,6410712.3785004215
10,424,424,ДОМИК БЫТА,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, Денежный переулок, дом 4",район Хамовники,Центральный административный округ,37.588409812135005,55.742840575095904,1903852.7504191257,6411124.334793765
11,514,514,ДИАНА,химическая чистка и крашение,Диана,да,бытовые услуги,"город Москва, Воронежская улица, дом 24",район Орехово-Борисово Южное,Южный административный округ,37.736183178843405,55.610351455251,1917778.4741199117,6399947.424732193
12,534,534,МИНИ-ПРАЧЕЧНАЯ,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, 1-й Вражский переулок, дом 4",район Хамовники,Центральный административный округ,37.574847508944615,55.739693286785126,1903144.6073298757,6410501.526171032
13,595,595,ТПК Прима -Бут,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, Гольяновская улица, дом 7, корпус 2",Басманный район,Центральный административный округ,37.7003213392325,55.769380862690596,1909667.818731829,6416330.51354315
14,596,596,Лотос-1,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, Гольяновская улица, дом 7, корпус 2",Басманный район,Центральный административный округ,37.708915136916495,55.7757426563358,1909952.6148281328,6417196.586998159
15,701,701,Moroni,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, улица Большая Якиманка, дом 32",район Якиманка,Центральный административный округ,37.61230620940969,55.73473489821459,1905606.6305521373,6410750.607487712
16,704,704,Контраст,химическая чистка и крашение,Контраст,да,бытовые услуги,"город Москва, улица Большая Якиманка, дом 32, сооружение 1",район Якиманка,Центральный административный округ,37.6127311215926,55.73526985195493,1905612.6217171203,6410817.167646027
17,771,771,Приемный пункт химчистки,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, Дубнинская улица, дом 16, корпус 1",район Восточное Дегунино,Северный административный округ,37.56290422967256,55.86881463126144,1897634.5031362397,6424170.089785644
18,773,773,Приемный пункт химчистки,химическая чистка и крашение,,нет,бытовые услуги,"город Москва, Дубнинская улица, дом 30, корпус 1",район Восточное Дегунино,Северный административный округ,37.55870474992723,55.880687933944074,1896939.9201258987,6425362.202558581
19,939,939,Пункт приема химчистки «Контраст»,химическая чистка и крашение,Контраст,да,бытовые услуги,"город Москва, Ленинский проспект, дом 21",Донской район,Южный административный округ,37.596221156205374,55.71802928642467,1905247.7337071262,6408613.098158822
20,946,946,Химчистка Диана,химическая чистка и крашение,Диана,да,бытовые услуги,"город Москва, улица Большие Каменщики, дом 6, строение 1",Таганский район,Центральный административный округ,37.655032,55.736093,1908154.5043560732,6411792.4297381565
