,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,11,11,Мультисервис ООО«ВЕТЕР ПЕРЕМЕН»,комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, Абрамцевская улица, дом 9, корпус 1",район Лианозово,Северо-Восточный административный округ,37.5723048673721,55.90302486264769,1896935.2054986241,6428052.817669015
1,24,24,Дом быта,комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, Авиамоторная улица, дом 28/6",район Лефортово,Юго-Восточный административный округ,37.719955109221694,55.7461956257438,1911725.211707247,6414245.024286884
2,30,30,Дом быта,комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, Авиамоторная улица, дом 51",район Лефортово,Юго-Восточный административный округ,37.7210333572432,55.7462499751824,1911788.7191438102,6414273.564569625
3,63,63,Мультисервис,комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, Большая Академическая улица, дом 12/18, корпус 1",район Коптево,Северный административный округ,37.52583736494397,55.820697821888096,1897168.4224714716,6418211.4484205535
4,87,87,Мультисервис,комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 87, корпус 3",район Лианозово,Северо-Восточный административный округ,37.58333650940224,55.892593516506814,1897990.2119844663,6427158.708776668
5,93,93,Мультисервис,комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 97",район Лианозово,Северо-Восточный административный округ,37.58589336333057,55.903821940146216,1897728.2353254848,6428422.004136237
6,98,98,Мультисервис,комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, улица Амундсена, дом 15, корпус 2",район Свиблово,Северо-Восточный административный округ,37.65440276586866,55.853605777816576,1903744.6094483281,6424442.654136622
7,157,157,ЦЕНТР БЫТОВЫХ УСЛУГ,комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, улица Лётчика Бабушкина, дом 6",Бабушкинский район,Северо-Восточный административный округ,37.67431,55.8592,1904742.6823209058,6425462.370603338
8,169,169,ДОМ БЫТА НА БАГРИЦКОГО,комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, улица Багрицкого, дом 8",Можайский район,Западный административный округ,37.43621581533827,55.72297894173997,1895326.6931819685,6405810.7468879325
9,174,174,Ремонт одежды и обуви,комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, Байкальская улица, дом 31",район Гольяново,Восточный административный округ,37.80833130875743,55.817790200632395,1914413.9319959816,6423819.628406374
10,180,180,"Ремонт обуви, одежды и техники",комплексное предприятие бытового обслуживания,,нет,бытовые услуги,"город Москва, Бакинская улица, дом 2",район Царицыно,Южный административный округ,37.65640925889587,55.62732144146998,1912280.7219792726,6400096.803734693
