,ObjectName,NameSummer,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,Фитнес клуб «Зебра»,зал тренажерный,"Краснобогатырская улица, дом 2, строение 1",район Богородское,Восточный административный округ,37.6938180266716,55.81456434839434,1907588.8996611957,6421062.387765709
1,Физкультурно-оздоровительный комплекс «Центр Вешняки»,зал тренажерный,"Вешняковская улица, дом 29Д",район Вешняки,Восточный административный округ,37.8316209029763,55.72284938732062,1919386.011459158,6414085.403705649
2,Досуговый центр «Заря»,зал тренажерный,"город Зеленоград, корпус 165",район Матушкино,Зеленоградский административный округ,37.210258764362024,56.010223270643955,1871092.0175318124,6432133.822462625
3,Досуговый центр «Фаворит»,зал тренажерный,"город Зеленоград, корпус 1639",район Крюково,Зеленоградский административный округ,37.159377751042335,55.97602959866231,1869262.792748793,6427405.294951791
4,Спортивный комплекс «Борисово»,зал тренажерный,"улица Борисовские Пруды, дом 29",район Москворечье-Сабурово,Южный административный округ,37.72735624672132,55.636200753000146,1916276.6746965472,6402547.289967331
5,Физкультурно-оздоровительный комплекс «Атлант Гольяново»,зал тренажерный,"Уральская улица, дом 19А",район Гольяново,Восточный административный округ,37.79726527592153,55.82179338455114,1913592.9464316647,6424017.386812554
6,Семейный спортивно-оздоровительный комплекс «Новое поколение-Вешняки»,зал тренажерный,"Косинская улица, дом 12Б",район Вешняки,Восточный административный округ,37.83366758579292,55.72470401998308,1919440.927069074,6414328.478437314
7,Спортивный комплекс «Коралл»,зал тренажерный,"1-й Красносельский переулок, дом 9",Красносельский район,Центральный административный округ,37.66873472195758,55.785568327295145,1907146.563935686,6417411.731528666
8,Спортивный зал «Олимп»,зал тренажерный №1,"Реутовская улица, дом 10, корпус 1",район Вешняки,Восточный административный округ,37.83724470406418,55.73792832487497,1919162.5936984522,6415828.622718564
9,Фитнес клуб «Х-Фит»,зал тренажерный,"Ленинградский проспект, дом 31А, строение 1",район Беговой,Северный административный округ,37.56080319651991,55.78334293806216,1900674.1122528543,6414913.637224079
10,Фитнес клуб «Планета Фитнес»,зал тренажерный,"улица Правды, дом 21, строение 2",район Беговой,Северный административный округ,37.58020605467933,55.788315614574394,1901668.3771280493,6415854.785866895
11,Физкультурно-оздоровительный комплекс «Белые медведи»,зал тренажерный,"Петрозаводская улица, дом 28, строение 1",район Ховрино,Северный административный округ,37.48812436148433,55.869787240209156,1893066.4127369372,6422718.889763914
12,Физкультурно-оздоровительный комплекс «Тимирязевская»,зал тренажерный,"улица 800-летия Москвы, дом 7Б",район Восточное Дегунино,Северный административный округ,37.56033651499369,55.88134931580503,1897014.2542001014,6425467.48232486
13,Физкультурно-оздоровительный комплекс «Спортивная школа олимпийского резерва № 73 Виктория»,зал тренажерный №9,"улица Алабяна, дом 13, корпус 1",район Сокол,Северный административный округ,37.506268205201636,55.79962126455257,1896759.612282609,6415531.869102386
14,Спортивный зал «Спортивная школа № 76»,зал тренажерный,"Бескудниковский бульвар, дом 12",Бескудниковский район,Северный административный округ,37.563703651288556,55.86212572953053,1897930.9132811122,6423465.856046643
15,Дворец спорта «Мегаспорт» имени А.В. Тарасова,зал тренажерный,"Ходынский бульвар, дом 3",Хорошёвский район,Северный административный округ,37.53985828997135,55.786588047982136,1899281.6762294434,6414826.533959684
16,Физкультурно-оздоровительный комплекс «Спортивная школа олимпийского резерва № 25»,зал тренажерный №1,"Вятская улица, дом 28",Савёловский район,Северный административный округ,37.58259555971653,55.79578021239246,1901536.7303849424,6416709.29021901
17,Физкультурно-оздоровительный комплекс с бассейном «Молния»,зал тренажерный,"Лобненская улица, дом 13А, строение 1",Дмитровский район,Северный административный округ,37.53508720682158,55.887209411392234,1895267.6329362693,6425573.257066491
18,Бассейн плавательный «Спортивная школа олимпийского резерва № 1»,зал тренажерный,"Левобережная улица, дом 14, строение 1",район Ховрино,Северный административный округ,37.46955001159817,55.87857687342706,1891616.092965362,6423280.79345625
19,Физкультурно-оздоровительный комплекс с бассейном «Олимпиец»,зал тренажерный № 1,"улица Коштоянца, дом 20",район Тропарёво-Никулино,Западный административный округ,37.47662682769873,55.674891424483924,1899559.1587579222,6401464.866817473
20,Физкультурно-оздоровительный комплекс с бассейном «Олимпиец»,зал тренажерный № 2,"улица Коштоянца, дом 20",район Тропарёво-Никулино,Западный административный округ,37.47662682769873,55.674891424483924,1899559.1587579222,6401464.866817473
21,Бассейн плавательный «Ясенево»,зал тренажерный,"Вильнюсская улица, дом 6, корпус 1",район Ясенево,Юго-Западный административный округ,37.519012077658275,55.604787572515356,1904730.15593803,6394787.97582286
22,Физкультурно-оздоровительный комплекс с бассейном «Спортивно-адаптивная школа»,зал тренажерный,"улица Корнейчука, дом 28, корпус 2",район Бибирево,Северо-Восточный административный округ,37.617800182966995,55.898884161847214,1899843.1928397168,6428555.857058021
23,Физкультурно-оздоровительный комплекс «Южное Бутово»,зал тренажерный,"улица Поляны, дом 35",район Южное Бутово,Юго-Западный административный округ,37.54830126733374,55.55010844917302,1908538.4595674097,6389502.95668283
24,Ледовый дворец «Мечта»,зал тренажерный,"улица Конёнкова, дом 10Б",район Бибирево,Северо-Восточный административный округ,37.61507993438558,55.89128318505415,1899961.0388925571,6427680.037642905
25,Физкультурно-оздоровительный комплекс «Кировский»,зал тренажерный,"улица Пришвина, дом 20",район Бибирево,Северо-Восточный административный округ,37.60148311975693,55.8861097370154,1899329.881725425,6426838.661467912
26,Физкультурно-оздоровительный комплекс с бассейном «Гармония»,зал тренажерный,"улица Саморы Машела, дом 6, корпус 4",Обручевский район,Юго-Западный административный округ,37.49887187941689,55.646772195006896,1901952.1572527224,6398895.776898586
27,Крытое сооружение с искусственным льдом «Спортивная школа «Метеор»,зал тренажерный,"Чечёрский проезд, дом 23",район Южное Бутово,Юго-Западный административный округ,37.529396091863845,55.53057642734003,1908103.1294077411,6387000.39759411
28,Физкультурно-оздоровительный комплекс «Спортивная школа олимпийского резерва № 44»,зал тренажерный №1,"Лисичанская улица, дом 3",район Бирюлёво Восточное,Южный административный округ,37.674802734059256,55.61971668767508,1913685.294719407,6399663.74727654
29,Физкультурно-оздоровительный комплекс «Спортивная школа олимпийского резерва № 44»,зал тренажерный №2,"Лисичанская улица, дом 3",район Бирюлёво Восточное,Южный административный округ,37.674802734059256,55.61971668767508,1913685.294719407,6399663.74727654
30,Физкультурно-оздоровительный комплекс «Спортивная школа олимпийского резерва № 46»,зал тренажерный,"Донбасская улица, дом 9",район Бирюлёво Восточное,Южный административный округ,37.660258462755934,55.5955154979977,1913696.975968155,6396748.804677491
31,Спортивный комплекс «Боевые перчатки»,Зал тренажерный,"улица Атарбекова, дом 3",район Преображенское,Восточный административный округ,37.7057191384002,55.79717165927315,1908959.5156521033,6419438.327186407
32,Спортивный зал «Федерация Таэквон-до «Юг»»,зал тренажерный,"Россошанская улица, дом 4, корпус 5",район Чертаново Южное,Южный административный округ,37.610251,55.591065,1910808.8073647541,6395218.423510682
33,Досуговый центр «Южный»,зал тренажерный,"Каширское шоссе, дом 124, корпус 2",район Орехово-Борисово Южное,Южный административный округ,37.716739792659745,55.60440521951536,1916813.6850058439,6398896.428235223
34,Спортивный комплекс «Измайлово»,зал тренажерный №1,"11-я Парковая улица, дом 49",район Северное Измайлово,Восточный административный округ,37.80453069577767,55.805859531851304,1914630.4347598958,6422454.443352268
35,Спортивный комплекс «Измайлово»,зал тренажерный №2,"11-я Парковая улица, дом 49",район Северное Измайлово,Восточный административный округ,37.804519909462535,55.80576189173757,1914633.4382381837,6422443.6991807
36,Спортивный клуб Нагатино-Садовники (АНО Московская школа Таэквон-до),зал тренажерный №3,"Нагатинская улица, дом 15, корпус 3, строение 2",район Нагатино-Садовники,Южный административный округ,37.643293065444865,55.68071276945871,1909498.1385805274,6405576.913792888
37,Фитнес клуб «Спарта»,зал тренажерный,"Ясный проезд, дом 10",район Южное Медведково,Северо-Восточный административный округ,37.629215,55.873885,1901463.9373798103,6426100.7423467375
38,Территориальная клубная система «Планета»,Зал тренажерный,"Веерная улица, дом 3, корпус 6",район Очаково-Матвеевское,Западный административный округ,37.47678192322425,55.70575621018345,1898430.9014459962,6404796.824190461
