,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,0,2,2,ФАНСК-копировальный салон,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Абельмановская улица, дом 5",Таганский район,Центральный административный округ,37.67229350250353,55.736846079757086,1909176.100577695,6412235.848689563
1,1,19,19,Фотоуслуги,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Авангардная улица, дом 16",Головинский район,Северный административный округ,37.489541016531696,55.84736459565426,1893980.618049124,6420331.108441317
2,2,39,39,Фотосалон,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Авиаторов, дом 18",район Солнцево,Западный административный округ,37.399612,55.644656999,1895974.9318319315,6396601.994968991
3,3,45,45,Срочное фото,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Автозаводская улица, дом 13/1",Даниловский район,Южный административный округ,37.656424,55.705402,1909380.198449221,6408513.746430477
4,4,48,48,Типография,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Автозаводская улица, дом 13/1",Даниловский район,Южный административный округ,37.656424,55.705402,1909380.198449221,6408513.746430477
5,5,60,60,"Фото, ксерокопия","фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Большая Академическая улица, дом 4",район Коптево,Северный административный округ,37.523008,55.817512,1897114.5397289856,6417809.096778928
6,6,139,139,СЕМОС,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Артюхиной, дом 8/10",район Текстильщики,Юго-Восточный административный округ,37.737247,55.70088,1914467.2394663668,6409726.091599949
7,7,140,140,АРКАДЬЕВ К.В.,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Чистова, дом 9/19",район Текстильщики,Юго-Восточный административный округ,37.740145,55.696876,1914792.9954907703,6409355.694338019
8,8,160,160,ФОТОАТЕЛЬЕ,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Лётчика Бабушкина, дом 11/2, корпус 1",Бабушкинский район,Северо-Восточный административный округ,37.673516,55.861017,1904626.8742300775,6425641.494500491
9,9,171,171,ФОТОУСЛУГИ,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Бажова, дом 7",район Ростокино,Северо-Восточный административный округ,37.66112322686735,55.8343906817169,1904867.299144235,6422513.010951675
10,10,208,208,КОПИРКА,"фотоателье, фотоуслуги",КОПИРКА,да,бытовые услуги,"город Москва, Бауманская улица, дом 33/2, строение 3",Басманный район,Центральный административный округ,37.679491,55.77279176229128,1908275.4718152413,6416260.624046897
11,11,209,209,Фотостудия,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Бауманская улица, дом 58А",Басманный район,Центральный административный округ,37.678616903883594,55.768041016019005,1908399.267840437,6415730.337032587
12,12,210,210,АСКОР-СТУДИЯ,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Бауманская улица, дом 58А",Басманный район,Центральный административный округ,37.678563259702706,55.767921308263695,1908400.466080081,6415716.311247655
13,13,242,242,Картридж,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, город Зеленоград, Берёзовая аллея, дом 8",район Матушкино,Зеленоградский административный округ,37.1975251661366,55.99890711057889,1870735.5481859338,6430652.776985427
14,14,283,283,Фотоателье,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Болотниковская улица, дом 1, корпус 1",Нагорный район,Южный административный округ,37.61725940224609,55.655941921815554,1908831.3104041603,6402360.436812745
15,15,329,329,Фотосалон Савеловский,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Бутырская улица, дом 2/18",Бутырский район,Северо-Восточный административный округ,37.58652149442232,55.79435528404101,1901827.9577783968,6416637.716861966
16,16,334,334,Полиграфия,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Бутырская улица, дом 86",Бутырский район,Северо-Восточный административный округ,37.583022222761294,55.80596482030604,1901184.9771420732,6417815.949532214
17,17,339,339,КОПИРОВАЛЬНЫЙ ЦЕНТР,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Бутырский Вал, дом 48",Тверской район,Центральный административный округ,37.58801090135632,55.78527142729958,1902255.282596984,6415689.722482285
18,18,356,356,Фотоателье «Photo Complex»,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Варшавское шоссе, дом 7, корпус 1",Донской район,Южный административный округ,37.62240406341248,55.70088192668637,1907477.3671192292,6407312.979585465
19,19,373,373,Фотоуслуги,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Варшавское шоссе, дом 128, корпус 1",район Чертаново Северное,Южный административный округ,37.613804294325156,55.6235009739471,1909823.5280049457,6398790.358260508
20,20,385,385,ФОТОУСЛУГИ,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Маршала Василевского, дом 17",район Щукино,Северо-Западный административный округ,37.4627849088736,55.8087921752825,1893780.556049799,6415616.596579135
21,21,388,388,Фотоателье «Арт Мания»,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Васильевская улица, дом 3",Пресненский район,Центральный административный округ,37.58551291399017,55.77049929189024,1902651.27661574,6414045.238478279
22,22,410,410,Фотоаелье,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, проспект Вернадского, дом 109",район Тропарёво-Никулино,Западный административный округ,37.483544,55.662115,1900451.7382159287,6400230.990802108
23,23,427,427,Фото студия Свег,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Викторенко, дом 3",Хорошёвский район,Северный административный округ,37.5293712579502,55.7989742952728,1898186.507252012,6415943.23268486
24,24,446,446,Фотоунивермаг,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, 2-я Владимирская улица, дом 15, корпус 1",район Перово,Восточный административный округ,37.78047974178894,55.759264677588895,1914914.6676133226,6416927.993335873
25,25,448,448,КОПИРКА,"фотоателье, фотоуслуги",КОПИРКА,да,бытовые услуги,"город Москва, 2-я Владимирская улица, дом 38/18",район Перово,Восточный административный округ,37.78425433208494,55.750417945309245,1915474.9018694027,6416054.571026644
26,26,452,452,Фотоуслуги,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Зелёный проспект, дом 23/43",район Перово,Восточный административный округ,37.7854090558111,55.75140075051431,1915508.295353157,6416184.810057006
27,27,460,460,Фотоуслуги,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, 3-я Владимирская улица, дом 27",район Перово,Восточный административный округ,37.79112856470429,55.75399907741965,1915758.5643459053,6416585.407466101
28,28,464,464,Фотография,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Большая Внуковская улица, дом 19/8",район Внуково,Западный административный округ,37.2984174221509,55.64407512518431,1889821.0194970882,6394443.068689727
29,29,478,478,Минасян,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Волгоградский проспект, дом 57",район Текстильщики,Юго-Восточный административный округ,37.733689,55.709908,1913913.932068572,6410623.971185317
30,30,480,480,Фотоуслуги,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Волгоградский проспект, дом 139",район Кузьминки,Юго-Восточный административный округ,37.77475730393285,55.705100033691295,1916591.99534013,6410971.779397023
31,31,515,515,Фотоателье,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Воронежская улица, дом 44, корпус 1",район Орехово-Борисово Южное,Южный административный округ,37.748380109433654,55.610164519369945,1918529.540421914,6400184.695298201
32,32,537,537,Фотосалон,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Высокая улица, дом 3",район Нагатино-Садовники,Южный административный округ,37.652070323435595,55.67946560807725,1910079.0546705732,6405626.713426673
33,33,550,550,Копицентр,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Бориса Галушкина, дом 12",Алексеевский район,Северо-Восточный административный округ,37.65396239976448,55.823975114099596,1904820.65700364,6421240.698800591
34,34,613,613,ФОТО,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, 1-я Тверская-Ямская улица, дом 11",Тверской район,Центральный административный округ,37.59104183838689,55.772620367437085,1902908.5687761032,6414389.434983296
35,35,621,621,НОРТОН,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Грайвороновская улица, дом 14, корпус 1",район Текстильщики,Юго-Восточный административный округ,37.732968,55.719222,1913522.5882446344,6411612.422864183
36,36,627,627,Гусев,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Кутузовский проспект, дом 71",район Фили-Давыдково,Западный административный округ,37.4525175582688,55.723828587504,1896287.7058715387,6406241.1240230175
37,37,656,656,Фотоателье,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица 26-ти Бакинских Комиссаров, дом 14",район Тропарёво-Никулино,Западный административный округ,37.487211,55.661578,1900695.1038205274,6400249.4927875
38,38,680,680,ФОТОУСЛУГИ МИНЕВРА,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Декабристов, дом 11",район Отрадное,Северо-Восточный административный округ,37.59876690010649,55.866758834033796,1899883.97537498,6424696.701749223
39,39,681,681,Фото,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Декабристов, дом 20, корпус 1",район Отрадное,Северо-Восточный административный округ,37.6076099258152,55.8628153996264,1900566.303776656,6424456.431174601
40,40,689,689,ФОТО ЭЛЛА,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Декабристов, дом 22",район Отрадное,Северо-Восточный административный округ,37.60538109427031,55.8624934075813,1900443.192762801,6424375.176425725
41,41,717,717,Сагитляев З.Г.,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Дмитровское шоссе, дом 45, корпус 2",Тимирязевский район,Северный административный округ,37.570518516164896,55.834314191491295,1899375.1255999315,6420610.500824885
42,42,747,747,Фото,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Донская улица, дом 31",Донской район,Южный административный округ,37.60593397314508,55.7199234631567,1905768.4983881114,6409020.59821062
43,43,762,762,Типография,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Дубининская улица, дом 41, строение 1",район Замоскворечье,Центральный административный округ,37.63714524551212,55.72400189335161,1907515.9771214384,6410114.118132504
44,44,777,777,Фотоателье,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Дубнинская улица, дом 71, корпус 1",Бескудниковский район,Северный административный округ,37.5569519029686,55.8784236321003,1896917.6578048225,6425081.648704168
45,45,788,788,Таганка,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, 2-я Дубровская улица, дом 10/8",Таганский район,Центральный административный округ,37.67202111337821,55.72640519675437,1909548.0341590557,6411104.892711755
46,46,806,806,Принт-Центр,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Яковоапостольский переулок, дом 17",Басманный район,Центральный административный округ,37.656274722546236,55.75930574599801,1907366.8394885976,6414320.219278407
47,47,822,822,Фотоателье,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Живописная улица, дом 24",район Хорошёво-Мнёвники,Северо-Западный административный округ,37.454799448982705,55.7884238317013,1894046.474950968,6413254.484745363
48,48,855,855,Заправка катриджей,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Зацепа, дом 32",район Замоскворечье,Центральный административный округ,37.63104805151364,55.72973356192686,1906932.2054283544,6410604.109540075
49,49,876,876,Фотостудия,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Зелёный проспект, дом 66, корпус 2",район Новогиреево,Восточный административный округ,37.822994850737906,55.749975750591,1917845.1705534437,6416825.006714867
50,50,899,899,Q,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Измайловский бульвар, дом 47",район Измайлово,Восточный административный округ,37.799771447330116,55.79726351330816,1914663.6744959084,6421428.160496666
51,51,907,907,Дигл-Дизайн,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Первомайская улица, дом 1",район Измайлово,Восточный административный округ,37.20639390260991,55.96882383523195,1872369.7364102462,6427589.188182245
52,52,911,911,Фотография,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Измайловское шоссе, дом 6",район Соколиная Гора,Восточный административный округ,37.721714606964156,55.779145435668326,1910602.9584034414,6417832.294678315
53,53,915,915,Фотоуслуги,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Измайловское шоссе, дом 13",район Соколиная Гора,Восточный административный округ,37.733015,55.783043,1911143.6312711008,6418489.8967738
54,54,983,983,Фотоалье «СВАДЕБНЫЙ»,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Кастанаевская улица, дом 3",район Филёвский Парк,Западный административный округ,37.49818870797528,55.740059862409936,1898468.2939356063,6408941.73885877
55,55,1010,1010,Фотоуслуги,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Каширское шоссе, дом 57, корпус 2",район Москворечье-Сабурово,Южный административный округ,37.69670715169272,55.637224952906884,1914369.9323671947,6402011.997715242
56,56,1039,1039,Фото,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Кировоградская улица, дом 22",район Чертаново Центральное,Южный административный округ,37.604589162386354,55.6152706547205,1909566.283556562,6397709.67430015
57,57,1047,1047,Копировальный центр CopyFast Багетная мастерская,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Климентовский переулок, дом 6",район Замоскворечье,Центральный административный округ,37.63010883965946,55.74121442086157,1906448.6926503354,6411821.896909848
58,58,1068,1068,Принтбас,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Малая Сухаревская площадь, дом 2/4",Мещанский район,Центральный административный округ,37.62856332985165,55.77291072053679,1905177.3958073559,6415205.760113803
59,59,1095,1095,ФОТОСТУДИЯ,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Комсомольский проспект, дом 41",район Хамовники,Центральный административный округ,37.5750347211945,55.72113666707544,1903843.385987734,6408504.933728451
60,60,1122,1122,Фотомастерская Ассоль,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Коровинское шоссе, дом 20, корпус 1",Дмитровский район,Северный административный округ,37.5228234754629,55.8795099278984,1894809.70215992,6424488.219483633
61,61,1123,1123,Типография,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, Коровинское шоссе, дом 25/30",район Западное Дегунино,Северный административный округ,37.52262955185798,55.87780430150339,1894861.0703478758,6424300.343097061
62,62,1126,1126,РИАН ФОТО,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, 1-я Останкинская улица, дом 41/9",Останкинский район,Северо-Восточный административный округ,37.62974397752144,55.82399224896746,1903350.9074140843,6420735.519852869
63,63,1160,1160,Фото Демидов А.С.,"фотоателье, фотоуслуги",,нет,бытовые услуги,"город Москва, улица Костякова, дом 9",Тимирязевский район,Северный административный округ,37.5715699420986,55.8124185332562,1900250.5704214356,6418272.455421886
