,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,0,0,0,СИГБАТУЛИН Н.И.,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Егора Абакумова, дом 9",Ярославский район,Северо-Восточный административный округ,37.71443040881264,55.87890010394036,1906438.194644714,6428426.00012093
1,1,3,3,Салон красоты Агапе,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Абельмановская улица, дом 5",Таганский район,Центральный административный округ,37.67224889657331,55.73677621371521,1909175.988166796,6412227.382686006
2,2,7,7,Парикмахерская «Профи-стриж»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Абрамцевская улица, дом 1",район Лианозово,Северо-Восточный административный округ,37.5730880714024,55.8936109734853,1897331.863817845,6427054.666139241
3,3,8,8,Парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Абрамцевская улица, дом 4, корпус 1",район Лианозово,Северо-Восточный административный округ,37.5765749441211,55.8932740763314,1897555.5107200674,6427091.052655105
4,4,13,13,Парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Абрамцевская улица, дом 9, корпус 1",район Лианозово,Северо-Восточный административный округ,37.5724014268944,55.905129892713795,1896862.9553026804,6428281.67328993
5,5,15,15,Парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Абрамцевская улица, дом 14, корпус 1",район Лианозово,Северо-Восточный административный округ,37.574928319192416,55.90105338768906,1897167.1746811827,6427895.047731317
6,6,22,22,Салон красоты Эко Стиль,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Авангардная улица, дом 18",Головинский район,Северный административный округ,37.489640730407935,55.84812228845657,1893958.6777227754,6420414.863554101
7,7,25,25,Парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Авиамоторная улица, дом 28/6",район Лефортово,Юго-Восточный административный округ,37.720119406039515,55.74620276781398,1911734.931102495,6414249.250241472
8,8,28,28,Парихмахерская Эко Стайл,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Авиамоторная улица, дом 49/1",район Лефортово,Юго-Восточный административный округ,37.7197619901728,55.7495651477323,1911587.8029519431,6414604.033601987
9,9,29,29,Белиссимо,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Авиамоторная улица, дом 51",район Лефортово,Юго-Восточный административный округ,37.720979713062896,55.746256014003905,1911785.2334923544,6414273.0866790125
10,10,33,33,ПАРИКМАХЕРСКАЯ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Авиационная улица, дом 68",район Щукино,Северо-Западный административный округ,37.45718425061087,55.81000942295535,1893395.5951201709,6415631.5449652625
11,11,36,36,Салон Шарм,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Авиаторов, дом 16",район Солнцево,Западный административный округ,37.398776672942304,55.6454831553502,1895893.6358432847,6396673.782493782
12,12,41,41,ПАРИКМАХЕРСКАЯ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Авиационный переулок, дом 8",район Аэропорт,Северный административный округ,37.540306113818,55.800685154262595,1898787.201940475,6416355.556936458
13,13,51,51,Салон красоты «Карина»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, 2-й Автозаводский проезд, дом 2",Даниловский район,Южный административный округ,37.658401,55.7063,1909467.1351329773,6408652.035037887
14,14,52,52,Салон красоты «Город Красоты»,парикмахерские и косметические услуги,Город красоты,да,бытовые услуги,"город Москва, 2-й Автозаводский проезд, дом 2",Даниловский район,Южный административный округ,37.65840265204022,55.70626581271769,1909468.50665046,6408648.384897164
15,15,53,53,Студия красоты «Счастливые люди»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, 2-й Автозаводский проезд, дом 3А",Даниловский район,Южный административный округ,37.658849540448955,55.70664698061707,1909481.532832101,6408698.849367988
16,16,54,54,Мужская парикмахерская Good Barbers,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, 2-й Автозаводский проезд, дом 5",Даниловский район,Южный административный округ,37.66008264292393,55.70593687852841,1909582.97847481,6408648.198482268
17,17,55,55,Центр красоты и здоровья «Аркадия»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, 3-й Автозаводский проезд, дом 4",Даниловский район,Южный административный округ,37.65496794013943,55.70658899843516,1909247.4595142645,6408611.124928238
18,18,56,56,ТАТУАЛЬ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Азовская улица, дом 3",район Зюзино,Юго-Западный административный округ,37.6057806239383,55.6623854350434,1907892.7717507891,6402814.498390916
19,19,57,57,Салон Красоты «Виктория»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Азовская улица, дом 6, корпус 2",район Зюзино,Юго-Западный административный округ,37.601315640073295,55.659605543713205,1907723.688222701,6402421.229483055
20,20,59,59,ВОЛЖАНОЧКА-3000,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Айвазовского, дом 5, корпус 1",район Ясенево,Юго-Западный административный округ,37.54342284069791,55.6172109753204,1905761.5850533168,6396638.053574602
21,21,61,61,Дарья,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Большая Академическая улица, дом 6, корпус 1",район Коптево,Северный административный округ,37.527302,55.822071,1897206.5105475408,6418389.977318271
22,22,62,62,Салон парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Большая Академическая улица, дом 12/18, корпус 1",район Коптево,Северный административный округ,37.532244999,55.832396999,1897124.3765511503,6419606.02830299
23,23,64,64,Парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Большая Академическая улица, дом 22",район Коптево,Северный административный округ,37.528554999999905,55.82347299999991,1897230.68159964,6418567.20568464
24,24,67,67,Вэрди,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Большая Академическая улица, дом 73, корпус 1",район Коптево,Северный административный округ,37.55159781474749,55.84199812085965,1897942.7985342413,6421044.144512346
25,25,70,70,Парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алма-Атинская улица, дом 2",район Братеево,Южный административный округ,37.76762803815111,55.64247043342485,1918497.59598099,6404072.723780621
26,26,71,71,Парикмахерская «АНТЕЯ»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алма-Атинская улица, дом 5",район Братеево,Южный административный округ,37.77050984655748,55.64133632626713,1918715.586444823,6404011.374561649
27,27,72,72,Парикмахерская Мила,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтайская улица, дом 33/7",район Гольяново,Восточный административный округ,37.83323573372659,55.82081190694384,1915810.697611122,6424670.778949508
28,28,74,74,Эвелина Салон красоты,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 24",район Отрадное,Северо-Восточный административный округ,37.5861497653208,55.862806365717404,1899266.0840148013,6424007.391014644
29,29,75,75,Салон красоты «БЬЮТИ»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 40А",район Отрадное,Северо-Восточный административный округ,37.589083993934494,55.870286994494,1899166.269780873,6424874.787674935
30,30,77,77,ПАРИКМАХЕРСКАЯ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 56",Алтуфьевский район,Северо-Восточный административный округ,37.587655340446005,55.8803649237312,1898705.6562505509,6425931.016955669
31,31,79,79,Студия красоты,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 56",Алтуфьевский район,Северо-Восточный административный округ,37.58783336201571,55.880805280152074,1898700.0948633682,6425982.185403083
32,32,80,80,САЛОН КРАСОТЫ «ЭСТЕТИК»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 56",Алтуфьевский район,Северо-Восточный административный округ,37.587574767110205,55.8803749739512,1898700.4024831129,6425930.418910633
33,33,84,84,Парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 82",район Бибирево,Северо-Восточный административный округ,37.5888165460642,55.894588560272894,1898247.9883529684,6427487.998546458
34,34,88,88,Парикмахерская Элеганто,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 88",район Бибирево,Северо-Восточный административный округ,37.589307734485004,55.898819498383126,1898120.652473861,6427954.164599769
35,35,89,89,Парикмахерская «Аленка»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 89А",район Лианозово,Северо-Восточный административный округ,37.5835165010514,55.894423124240895,1897933.2056253925,6427359.623562181
36,36,90,90,Парикмахерская Вуаля,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 92",район Бибирево,Северо-Восточный административный округ,37.5882908330994,55.901217452823296,1897970.0610348682,6428191.351958366
37,37,91,91,Парикмахерская МАСТЕРСТРИЖ,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 92",район Бибирево,Северо-Восточный административный округ,37.58894529209729,55.9007663390672,1898026.4298665437,6428156.391695335
38,38,92,92,ПАРИКМАХЕРСКАЯ «АЛЕНУШКА»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 93",район Лианозово,Северо-Восточный административный округ,37.585855387313295,55.9009618223408,1897832.1098285338,6428113.01088324
39,39,95,95,Свиткевич В.Л.,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Аминьевское шоссе, дом 13",район Очаково-Матвеевское,Западный административный округ,37.4548184494486,55.705891010638304,1897088.4379469187,6404354.389435752
40,40,96,96,Эконом парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Амундсена, дом 7",район Свиблово,Северо-Восточный административный округ,37.65674255971276,55.851658925184296,1903958.891865877,6424281.879382666
41,41,97,97,ЛЕДИ Х,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Амундсена, дом 11, корпус 1",район Свиблово,Северо-Восточный административный округ,37.65651328412595,55.852817242252094,1903901.8767281559,6424401.883198049
42,42,100,100,Парикмахерская «Владич»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Амурская улица, дом 14",район Гольяново,Восточный административный округ,37.7894135938715,55.8135307898138,1913426.2100283909,6422961.893629488
43,43,102,102,Анадырь,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Анадырский проезд, дом 47, корпус 1",Лосиноостровский район,Северо-Восточный административный округ,37.698006,55.873668,1905638.8022539685,6427517.803927744
44,44,109,109,Парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, Анненская улица, дом 5",район Марьина Роща,Северо-Восточный административный округ,37.6088624344095,55.80272707965089,1902873.6996240139,6418006.997080238
45,45,111,111,Эконом-парикмахерская,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, проспект Андропова, дом 17, корпус 1",район Нагатинский Затон,Южный административный округ,37.6670151307534,55.68265388433151,1910870.7118559396,6406284.235354157
46,46,112,112,Салон красоты «Фамилия»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, проспект Андропова, дом 17, корпус 1",район Нагатинский Затон,Южный административный округ,37.66707753817732,55.68269298807685,1910873.058310706,6406289.7612592075
47,47,113,113,Салон красоты,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, проспект Андропова, дом 19",район Нагатинский Затон,Южный административный округ,37.6659851624918,55.6815167194218,1910850.2703735055,6406140.026835592
48,48,114,114,Салон красоты «Вилена»,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, проспект Андропова, дом 21",район Нагатинский Затон,Южный административный округ,37.665384347671804,55.6790971095999,1910903.6409921218,6405866.601534821
49,49,115,115,Салон красоты Malle,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, проспект Андропова, дом 26",район Нагатино-Садовники,Южный административный округ,37.662877701384,55.6808158728635,1910687.080268452,6405999.209087793
50,50,116,116,София,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, проспект Андропова, дом 30",район Нагатино-Садовники,Южный административный округ,37.662276886564705,55.679382246425504,1910703.7836279974,6405832.0606574565
51,51,118,118,Салон,парикмахерские и косметические услуги,,нет,бытовые услуги,"город Москва, улица Академика Анохина, дом 26, корпус 2",район Тропарёво-Никулино,Западный административный округ,37.471291,55.661452,1899729.1136270158,6399904.227951988
