,Address,Latitude,Longitude,X,Y,Distance from center
0,"Russia, Moscow, Luzhniki",55.711374644865685,37.56600521275826,1903655.3526300967,6407263.736444508,5992.495306631506
1,"Russia, Moscow, Vorobyovy Gory Nature Reserve",55.70966493615612,37.57482246498503,1904255.3526300967,6407263.736444508,5840.3767001795895
2,"Russia, Moscow, Leninsky Avenue, 39с1",55.707954628747956,37.58363876764865,1904855.3526300967,6407263.736444508,5747.173218200459
3,"Russia, Moscow, Vavilova Street, 3",55.70624372278864,37.59245412055702,1905455.3526300967,6407263.736444508,5715.767664977349
4,"Russia, Moscow, Muslim Cemetery",55.70453221842577,37.601268523518314,1906055.3526300967,6407263.736444508,5747.173218200459
5,"Russia, Moscow, Danilovskoye Cemetery",55.70282011580685,37.61008197634083,1906655.3526300967,6407263.736444508,5840.3767001795895
6,"Russia, Moscow, Yuzhniy Administrative Okrug, Donskoy District",55.701107415079505,37.61889447883311,1907255.3526300967,6407263.736444508,5992.495306631506
7,"Russia, Moscow, Luzhniki",55.718249700580444,37.55539887688285,1902755.3526300967,6407783.3516867785,5855.7663887829085
8,"Russia, Moscow, Tsentralniy Administrative Okrug, Khamovniki District",55.71654061550796,37.56421835688663,1903355.3526300967,6407783.3516867785,5604.462507680789
9,"Russia, Moscow, Luzhnetskaya Embankment, 2/4с32",55.714830931443366,37.57303688728075,1903955.3526300967,6407783.3516867785,5408.32691319595
10,"Russia, Moscow, Neskuchny Garden",55.71312064853417,37.58185446787281,1904555.3526300967,6407783.3516867785,5273.518749374049
11,"Russia, Moscow, Leninsky Avenue, 33с24",55.71140976692794,37.59067109847064,1905155.3526300967,6407783.3516867785,5204.8054718692065
12,"Russia, Moscow, Ordzhonikidze Street, 7с2",55.709698286772245,37.59948677888225,1905755.3526300967,6407783.3516867785,5204.8054718692065
13,"Russia, Moscow, Novaya Zarya Street, 3",55.70798620821466,37.60830150891587,1906355.3526300967,6407783.3516867785,5273.518749374049
14,"Russia, Moscow, Malaya Tulskaya Street, 24",55.70627353140282,37.61711528837991,1906955.3526300967,6407783.3516867785,5408.32691319595
15,"Russia, Moscow, Varshavskoye Highway, 1с2",55.704560256484356,37.62592811708299,1907555.3526300967,6407783.3516867785,5604.462507680789
16,"Russia, Moscow, Avtozavodskaya Street, 23с85",55.702846383606925,37.63473999483396,1908155.3526300967,6407783.3516867785,5855.7663887829085
17,"Russia, Moscow, Luzhnetskaya Embankment",55.72512414732954,37.54478870478396,1901855.3526300967,6408302.966929049,5901.694671871702
18,"Russia, Moscow, Khamovnichesky Val Street",55.72341568638769,37.553610413281035,1902455.3526300967,6408302.966929049,5556.077753235535
19,"Russia, Moscow, Projected Drive 2309",55.721706626160156,37.562431172122295,1903055.3526300967,6408302.966929049,5256.424640380458
20,"Russia, Moscow, Komsomolsky Avenue, 48/22",55.71999696679446,37.571250981115014,1903655.3526300967,6408302.966929049,5010.987926546903
21,"Russia, Moscow, Tsentralniy Administrative Okrug, Khamovniki District, 470-y kvartal",55.718286708438185,37.58006984006671,1904255.3526300967,6408302.966929049,4828.043081829203
22,"Russia, Moscow, Krymsky Val Street, 9с46",55.716575851238886,37.588887748785076,1904855.3526300967,6408302.966929049,4714.870093650389
23,"Russia, Moscow, Malaya Kaluzhskaya Street, 15с28",55.7148643953442,37.59770470707802,1905455.3526300967,6408302.966929049,4676.537180435844
24,"Russia, Moscow, Shabolovka Street, 52",55.713152340901715,37.60652071475364,1906055.3526300967,6408302.966929049,4714.870093650389
25,"Russia, Moscow, Serpukhovsky Val Street",55.711439688059116,37.615335771620266,1906655.3526300967,6408302.966929049,4828.043081829203
26,"Russia, Moscow, Kholodilny Lane, 2/6",55.709726436964054,37.62414987748638,1907255.3526300967,6408302.966929049,5010.987926546903
27,"Russia, Moscow, Yuzhniy Administrative Okrug, Danilovskiy District",55.70801258776424,37.6329630321607,1907855.3526300967,6408302.966929049,5256.424640380458
28,"Russia, Moscow, Yuzhniy Administrative Okrug, Danilovskiy District",55.70629814060739,37.64177523545216,1908455.3526300967,6408302.966929049,5556.077753235535
29,"Russia, Moscow, Avtozavodskaya Street, 12к1с1",55.70458309564122,37.65058648716984,1909055.3526300967,6408302.966929049,5901.694671871702
30,"Russia, Moscow, Vorobyovskoye Highway, 2с44",55.73029014802681,37.542998632157506,1901555.3526300967,6408822.58217132,5699.999999999844
31,"Russia, Moscow, Tsentralniy Administrative Okrug, Khamovniki District",55.72858171213002,37.55182162016245,1902155.3526300967,6408822.58217132,5307.541803886072
32,"Russia, Moscow, 10-letiya Oktyabrya Street",55.72687267680143,37.560643658272724,1902755.3526300967,6408822.58217132,4956.813492557312
33,"Russia, Moscow, Kooperativnaya Street, 3к6",55.72516304218861,37.56946474629551,1903355.3526300967,6408822.58217132,4657.2524088778155
34,"Russia, Moscow, Komsomolsky Avenue, 35",55.72345280843915,37.57828488403821,1903955.3526300967,6408822.58217132,4419.275958796668
35,"Russia, Moscow, Tsentralniy Administrative Okrug, Khamovniki District",55.72174197570067,37.587104071308396,1904555.3526300967,6408822.58217132,4253.234063627137
36,"Russia, Moscow, Neskuchny Garden",55.72003054412082,37.59592230791388,1905155.3526300967,6408822.58217132,4167.733196834727
37,"Russia, Moscow, Donskaya Street, 39",55.71831851384725,37.60473959366263,1905755.3526300967,6408822.58217132,4167.733196834727
38,"Russia, Moscow, Khavskaya Street",55.71660588502763,37.61355592836284,1906355.3526300967,6408822.58217132,4253.234063627137
39,"Russia, Moscow, Lyusinovskaya Street",55.7148926578097,37.62237131182294,1906955.3526300967,6408822.58217132,4419.275958796668
40,"Russia, Moscow, Dubininskaya Street, 98с2",55.713178832341164,37.63118574385148,1907555.3526300967,6408822.58217132,4657.2524088778155
41,"Russia, Moscow, 3rd Paveletsky Drive, 6кА",55.711464408769785,37.639999224257295,1908155.3526300967,6408822.58217132,4956.813492557312
42,"Russia, Moscow, Yuzhniy Administrative Okrug, Danilovskiy District",55.709749387243335,37.64881175284936,1908755.3526300967,6408822.58217132,5307.541803886072
43,"Russia, Moscow, Masterkova Street",55.708033767909605,37.65762332943687,1909355.3526300967,6408822.58217132,5699.999999999844
44,"Russia, Moscow, Kiyevsky Overpass",55.73545618858424,37.54120822938957,1901255.3526300967,6409342.197413591,5556.077753235441
45,"Russia, Moscow, Berezhkovskaya Embankment, 20с52",55.73374777778657,37.55003249733422,1901855.3526300967,6409342.197413591,5117.616632769378
46,"Russia, Moscow, Tsentralniy Administrative Okrug, Khamovniki District",55.73203876741094,37.55885581514526,1902455.3526300967,6409342.197413591,4714.870093650278
47,"Russia, Moscow, Bolshaya Pirogovskaya Street",55.73032915760498,37.567678182629784,1903055.3526300967,6409342.197413591,4357.751713899931
