,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,95,95,Евросеть,Прочие специализированные непродовольственные предприятия торговли,Евросеть,да,реализация непродовольственных товаров,"город Москва, Большая Черкизовская улица, дом 3, корпус 1",район Преображенское,Восточный административный округ,37.71707956993239,55.797219404841854,1909647.2371158416,6419682.172705403
1,122,122,Салон связи «Связной»,Прочие специализированные непродовольственные предприятия торговли,Связной,да,реализация непродовольственных товаров,"город Москва, Совхозная улица, дом 41",район Люблино,Юго-Восточный административный округ,37.760329745188926,55.67432321313533,1916863.5893075003,6407351.1053856425
2,167,167,Tele2,Прочие специализированные непродовольственные предприятия торговли,Tele2,да,реализация непродовольственных товаров,"город Москва, Вешняковская улица, дом 43",район Вешняки,Восточный административный округ,37.821746307357934,55.716118361741145,1919037.8035971539,6413151.478712492
3,194,194,Мегафон,Прочие специализированные непродовольственные предприятия торговли,Мегафон,да,реализация непродовольственных товаров,"город Москва, Рязанский проспект, дом 46, корпус 4",район Черёмушки,Юго-Западный административный округ,37.54698765,55.6548975,1904586.1944335648,6400776.673053172
4,245,245,Связной,Прочие специализированные непродовольственные предприятия торговли,Связной,да,реализация непродовольственных товаров,"город Москва, город Московский, 1-й микрорайон, владение 5Д, строение 1",поселение Московский,Новомосковский административный округ,37.350140321422685,55.60204725977354,1894516.7026315853,6390978.092692058
5,261,261,Салон связи Билайн,Прочие специализированные непродовольственные предприятия торговли,Билайн,да,реализация непродовольственных товаров,"город Московский, 1-й микрорайон, владение 23Б",поселение Московский,Новомосковский административный округ,37.35321158588146,55.60282460526097,1894675.875509536,6391125.646523909
6,262,262,Мегафон,Прочие специализированные непродовольственные предприятия торговли,Мегафон,да,реализация непродовольственных товаров,"город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 4, строение 2",поселение Московский,Новомосковский административный округ,37.43602399999999,55.63176772154237,1898670.4016089016,6395968.20841421
7,325,325,Tele2,Прочие специализированные непродовольственные предприятия торговли,Tele2,да,реализация непродовольственных товаров,"город Москва, Авиамоторная улица, дом 14",район Лефортово,Юго-Восточный административный округ,37.716264613507136,55.75232582993557,1911272.305120141,6414827.938227781
8,436,436,Мегафон,Прочие специализированные непродовольственные предприятия торговли,Мегафон,да,реализация непродовольственных товаров,"город Москва, Алтуфьевское шоссе, дом 88",район Бибирево,Северо-Восточный административный округ,37.589307734485004,55.89881949838313,1898120.652473861,6427954.164599769
9,769,769,БИЛАЙН,Прочие специализированные непродовольственные предприятия торговли,Билайн,да,реализация непродовольственных товаров,"город Москва, улица Маршала Бирюзова, дом 14",район Щукино,Северо-Западный административный округ,37.49298142163053,55.79408781428098,1896157.0379853318,6414658.814160686
