,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
12,12,Herve Leger,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Кузнецкий Мост, дом 7",Тверской район,Центральный административный округ,37.618939227308495,55.76174967561975,1905007.1362590503,6413801.323632534
99,99,"Одежда, джинсы",Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Чертановская улица, дом 32, строение 2",район Чертаново Центральное,Южный административный округ,37.59259016715686,55.6184047326009,1908717.972269165,6397796.062742365
146,146,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Зои и Александра Космодемьянских, дом 35/1",район Коптево,Северный административный округ,37.5257229999999,55.825028,1897001.3027126985,6418675.8549219575
147,147,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Зои и Александра Космодемьянских, дом 35/1",район Коптево,Северный административный округ,37.5257229999999,55.825028,1897001.3027126985,6418675.8549219575
234,234,Магазин «Изетта»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Расторгуевский переулок, дом 1",Пресненский район,Центральный административный округ,37.57071109656778,55.76504161537957,1901954.0508887768,6413147.669315611
269,269,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Комсомольский проспект, дом 24, строение 1",район Хамовники,Центральный административный округ,37.592276322706056,55.73312057256646,1904448.2411324603,6410157.403266317
334,334,Одежда для байкеров,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Авиамоторная улица, дом 47",район Лефортово,Юго-Восточный административный округ,37.718474071807925,55.750211166145725,1911485.4387346925,6414646.551332697
354,354,Модный доктор,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Автозаводская улица, дом 2",Даниловский район,Южный административный округ,37.663652720280865,55.710583633598844,1909627.4524086462,6409223.9845825685
406,406,Cascatto,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Алтайская улица, дом 17, корпус 1",район Гольяново,Восточный административный округ,37.82111005102241,55.8207888025091,1915076.377811308,6424412.256787538
425,425,Брюки,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Алтуфьевское шоссе, дом 82",район Бибирево,Северо-Восточный административный округ,37.58888389523725,55.89466495621063,1898249.230216969,6427497.635840737
505,505,Магазин «Хлопковый мир»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, проспект Андропова, дом 28",район Нагатино-Садовники,Южный административный округ,37.662633361464096,55.67998501566868,1910703.086646215,6405904.519996372
602,602,БРЮКИ,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Лётчика Бабушкина, дом 11/2, корпус 1",Бабушкинский район,Северо-Восточный административный округ,37.673473,55.861005000000006,1904624.7158813041,6425639.30064571
616,616,МАГАЗИН ОДЕЖДЫ «МОДУС»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Лётчика Бабушкина, дом 37, корпус 1",Бабушкинский район,Северо-Восточный административный округ,37.676953000000005,55.872514,1904406.687667124,6426952.157804143
638,638,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Байкальская улица, дом 37",район Гольяново,Восточный административный округ,37.81443253774092,55.817734318853645,1914785.9974123756,6423942.35093782
641,641,Мужская одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Байкальская улица, дом 39",район Гольяново,Восточный административный округ,37.81546958416324,55.81774056478936,1914848.6478453442,6423964.909768066
673,673,Магазин «НИВО»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Барклая, дом 11",район Филёвский Парк,Западный административный округ,37.496391205062274,55.74450271255276,1898194.9498561644,6409383.37440405
682,682,ВИЗАНИ,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Бауманская улица, дом 35/1",Басманный район,Центральный административный округ,37.67910124078081,55.77168419564011,1908293.038233131,6416133.0926016485
701,701,СпецСнабТекстиль,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Башиловская улица, дом 23, корпус 1",Савёловский район,Северный административный округ,37.57422766891797,55.80232327396795,1900786.0970309447,6417239.8002908
716,716,Сшито в Италии,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Беговая улица, дом 18, корпус 1",район Беговой,Северный административный округ,37.55697843962653,55.777926262182724,1900642.351192562,6414249.904757323
717,717,Театральные принадлежности,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Беговая улица, дом 20, корпус 2",район Беговой,Северный административный округ,37.558144999,55.778232999,1900701.8676964669,6414307.316916225
726,726,Женская одежда больших размеров,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Протопоповский переулок, дом 16",Мещанский район,Центральный административный округ,37.64062058363189,55.77947182726431,1905665.9851859312,6416165.411687641
738,738,МИКРОДИН,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Бережковская набережная, дом 4",район Дорогомилово,Западный административный округ,37.567339230940426,55.7404676169914,1902659.2889213029,6410428.10975151
804,804,ЖЕНСКАЯ ОДЕЖДА LA BELLE,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Маршала Бирюзова, дом 28",район Щукино,Северо-Западный административный округ,37.487013236604966,55.79737074441674,1895673.3322142463,6414888.639870637
808,808,Магазин «Одежда.Обувь.Хозяйственные товары.»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Бирюлёвская улица, дом 5, корпус 1",район Бирюлёво Восточное,Южный административный округ,37.664521236986644,55.59968394980229,1913802.353987712,6397287.860196968
873,873,Маназин «ОДЕЖДА»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Бочкова, дом 6, корпус 1",Останкинский район,Северо-Восточный административный округ,37.63352884873815,55.81052534829946,1904081.1214209225,6419363.480181599
881,881,Магазин «Пижама Пати»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, 2-я Брестская улица, дом 37, строение 1",Пресненский район,Центральный административный округ,37.58549517111086,55.773397240236676,1902542.7555615,6414357.241562213
887,887,Магазин «Fin Amore»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Малая Бронная улица, дом 16",Пресненский район,Центральный административный округ,37.59640472038662,55.76161569200777,1903642.5969335628,6413315.373153413
905,905,Джинсы,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, проспект Будённого, дом 27, корпус 2",район Соколиная Гора,Восточный административный округ,37.73160905350322,55.76892006508435,1911585.4330988168,6416938.708116905
982,982,БОГАТЫРЬ,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Варшавское шоссе, дом 50",Нагорный район,Южный административный округ,37.621051072136204,55.667386465885144,1908637.8603343938,6403673.757338057
987,987,Магазин «La Belle»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Варшавское шоссе, дом 65, корпус 1",район Нагатино-Садовники,Южный административный округ,37.6259493228479,55.66928219028266,1908865.9740444382,6403980.8456891375
1160,1160,"Одежда, сувениры, цветы",Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, 2-я Владимирская улица, дом 44/10",район Перово,Восточный административный округ,37.78501722062139,55.74913631246656,1915569.198500967,6415932.5976950815
1207,1207,Камуфляж,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Волгоградский проспект, дом 14",Таганский район,Центральный административный округ,37.6747652517381,55.729464478830096,1909601.093628504,6411492.223121978
1220,1220,Брюки,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Волгоградский проспект, дом 72, корпус 1",район Кузьминки,Юго-Восточный административный округ,37.75943370214704,55.705133861236895,1915658.4439916124,6410652.14436411
1261,1261,Женская одежда ЛедиШарм,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Волоколамское шоссе, дом 3",район Сокол,Северный административный округ,37.50329611462249,55.80671814648072,1896316.9185122354,6416235.138877865
1357,1357,Магазин «Одежда»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Бориса Галушкина, дом 19, корпус 2",Алексеевский район,Северо-Восточный административный округ,37.66306930566689,55.82211476491316,1905442.314957057,6421231.046439452
1373,1373,ОДЕЖДА И ОБУВЬ,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Гвардейская улица, дом 17, корпус 1",Можайский район,Западный административный округ,37.42367,55.725202,1894481.2110563344,6405789.998632712
1396,1396,ЗАМ ЗАМ Маркет,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица Гиляровского, дом 33",Мещанский район,Центральный административный округ,37.63079987229841,55.78012068601879,1905045.3841081047,6416029.64885499
1472,1472,МАГАЗИН ПАЛЬТО,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, 1-я Тверская-Ямская улица, дом 10",Тверской район,Центральный административный округ,37.59295945119627,55.77220924115583,1903040.3276742846,6414385.207987928
1474,1474,Люди Икс,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, 1-я Тверская-Ямская улица, дом 13, строение 1",Тверской район,Центральный административный округ,37.58976070300813,55.773357553671744,1902803.391588755,6414442.115830115
1475,1475,CODE RED STORE,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, 1-я Тверская-Ямская улица, дом 13, строение 1",Тверской район,Центральный административный округ,37.58976070300813,55.773357553671744,1902803.391588755,6414442.115830115
1560,1560,Магазин «ВСЕ ДЛЯ ДОМА»,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, улица 26-ти Бакинских Комиссаров, дом 7, корпус 6",район Тропарёво-Никулино,Западный административный округ,37.484667727491995,55.65520879080171,1900774.8353451532,6399509.544955135
1607,1607,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Дмитровское шоссе, дом 30, корпус 1",Тимирязевский район,Северный административный округ,37.573796754628,55.83843351560567,1899421.23545009,6421122.878037537
1619,1619,Одежда,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Дмитровское шоссе, дом 45, корпус 2",Тимирязевский район,Северный административный округ,37.56859085012744,55.833809091137226,1899276.922129969,6420515.844543043
1649,1649,ЯрмаркаДА,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Днепропетровская улица, дом 3, корпус 1",район Чертаново Центральное,Южный административный округ,37.605500682083104,55.6212919025627,1909398.789178256,6398378.0227199625
1671,1671,"Одежда, обувь, хозяйственный",Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Домодедовская улица, дом 42",район Орехово-Борисово Южное,Южный административный округ,37.713321064302676,55.60218243463235,1916687.8306349327,6398584.762164078
1688,1688,ДАНИЭЛЬ,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Большая Дорогомиловская улица, дом 9",район Дорогомилово,Западный административный округ,37.554730731878756,55.74595784975102,1901689.2419033996,6410756.664121797
1690,1690,Одежда HС boutigue,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Большая Дорогомиловская улица, дом 9",район Дорогомилово,Западный административный округ,37.554730731878756,55.74595784975102,1901689.2419033996,6410756.664121797
1698,1698,БОНПУА,Магазин «Одежда»,,нет,реализация непродовольственных товаров,"город Москва, Большая Дорогомиловская улица, дом 11",район Дорогомилово,Западный административный округ,37.55280250650607,55.745874109993544,1901575.0835708692,6410707.380143474
