,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,4,4,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, 4-й Рощинский проезд, дом 7/17",Даниловский район,Южный административный округ,37.61142564302264,55.70928541862597,1906497.3065076785,6407988.837311693
1,5,5,Магазин «Радуга»,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Марьинский бульвар, дом 4",район Марьино,Юго-Восточный административный округ,37.749818553954185,55.647955415176575,1917207.47972417,6404287.868445506
2,7,7,ПРОДУКТЫ,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Волочаевская улица, дом 40Б",район Лефортово,Юго-Восточный административный округ,37.678139532503344,55.75248197832822,1908949.5259027856,6414043.631170081
3,8,8,Магазин «Монастырский мед»,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, улица Даниловский Вал, дом 10",Даниловский район,Южный административный округ,37.625177258866074,55.711200599389585,1907263.1552599187,6408483.40386421
4,13,13,ТД ЭЛЬЙОН,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Октябрьская улица, дом 18",район Внуково,Западный административный округ,37.21248601142178,55.61088473655803,1885783.3952086032,6389087.860098123
5,19,19,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Флотская улица, дом 50",Головинский район,Северный административный округ,37.50169273318029,55.85389198538373,1894476.3553834343,6421287.358116533
6,23,23,Магазин «Продукты»,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Лебедянская улица, дом 34",район Бирюлёво Восточное,Южный административный округ,37.69379704311749,55.58541878538674,1916119.882082388,6396366.257534611
7,25,25,Магазин «Октава плюс»,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Ленинский проспект, дом 20",Донской район,Южный административный округ,37.593064747723,55.71676219058279,1905102.6332172363,6408410.450482995
8,30,30,Продукты,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Кировоградская улица, дом 36",район Чертаново Центральное,Южный административный округ,37.599515999999994,55.604834,1909643.2901587316,6396477.9391322415
9,33,33,Универсам «Свой»,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Бойцовая улица, дом 12, строение 1",район Богородское,Восточный административный округ,37.71934799999999,55.81191077368546,1909236.6926346247,6421312.660653357
10,34,34,Минимаркет,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, Октябрьская улица, дом 69",район Марьина Роща,Северо-Восточный административный округ,37.61213602148013,55.794759777470205,1903368.246943577,6417216.776085279
11,41,41,Продукты на Заводской,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, город Зеленоград, Заводская улица, дом 38, строение 3",район Крюково,Зеленоградский административный округ,37.183854,55.972838,1870859.7484031075,6427561.11282122
12,42,42,Магазин «Манго»,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, город Троицк, Октябрьский проспект, дом 14",поселение Троицк,Троицкий административный округ,37.29761,55.476016,1895907.5037114213,6376285.952176427
13,53,53,ПРОДУКТЫ,Магазин «Продукты»,,нет,реализация продовольственных товаров,"город Москва, проезд Кадомцева, дом 13",район Ростокино,Северо-Восточный административный округ,37.663839158698025,55.828769173759916,1905241.2821548718,6421964.199912448
