,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,2,200,200,Добрынинский и партнёры,Прочие специализированные продовольственные предприятия торговли,Добрынинский и партнёры,да,реализация продовольственных товаров,"город Москва, 9-я Парковая улица, дом 59, корпус 2",район Северное Измайлово,Восточный административный округ,37.797872999999996,55.808101,1914142.6264574511,6422555.42620971
1,3,208,208,Лит.ра,Прочие специализированные продовольственные предприятия торговли,Лит.ра,да,реализация продовольственных товаров,"город Москва, Профсоюзная улица, дом 152, корпус 2, строение 2",район Тёплый Стан,Юго-Западный административный округ,37.505382,55.622496999999996,1903244.729304564,6396413.427632914
2,4,257,257,У Палыча,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, улица Шолохова, дом 15А",район Ново-Переделкино,Западный административный округ,37.34540919616139,55.641937704855486,1892767.1468150096,6395184.5936892275
3,6,305,305,ВкусВилл,Прочие специализированные продовольственные предприятия торговли,ВкусВилл,да,реализация продовольственных товаров,"город Москва, Абрамцевская улица, дом 3",район Лианозово,Северо-Восточный административный округ,37.57310373213343,55.89483503359264,1897287.4027454243,6427186.903042993
4,9,413,413,Лит.ра,Прочие специализированные продовольственные предприятия торговли,Лит.ра,да,реализация продовольственных товаров,"город Москва, Алтуфьевское шоссе, дом 56",Алтуфьевский район,Северо-Восточный административный округ,37.587756999,55.880607999999995,1898702.7918118143,6425959.33263928
5,11,441,441,Вкусвилл,Прочие специализированные продовольственные предприятия торговли,ВкусВилл,да,реализация продовольственных товаров,"город Москва, Алтуфьевское шоссе, дом 93",район Лианозово,Северо-Восточный административный округ,37.585767173319795,55.900220246194365,1897854.297573906,6428031.259846538
6,13,509,509,Подворье-Молоко,Прочие специализированные продовольственные предприятия торговли,Подворье,да,реализация продовольственных товаров,"город Москва, проспект Андропова, дом 28",район Нагатино-Садовники,Южный административный округ,37.662628386825034,55.679984020740875,1910702.8206619755,6405904.308264219
7,15,512,512,СушиШоп,Прочие специализированные продовольственные предприятия торговли,СушиШоп,да,реализация продовольственных товаров,"город Москва, проспект Андропова, дом 29, корпус 2",район Нагатинский Затон,Южный административный округ,37.666556301483105,55.6763152702569,1911078.4482020747,6405591.373496503
8,16,596,596,ОЧАКОВО,Прочие специализированные продовольственные предприятия торговли,Очаково,да,реализация продовольственных товаров,"город Москва, улица Лётчика Бабушкина, дом 8",Бабушкинский район,Северо-Восточный административный округ,37.674517,55.860004,1904725.2694961168,6425553.330154877
9,18,691,691,Бристоль,Прочие специализированные продовольственные предприятия торговли,Бристоль,да,реализация продовольственных товаров,"город Москва, Башиловская улица, дом 1, корпус 1",Савёловский район,Северный административный округ,37.57671847069437,55.792885941484535,1901287.153206332,6416274.5757719325
10,21,786,786,ТОРТЫ ОНИКС,Прочие специализированные продовольственные предприятия торговли,Оникс,да,реализация продовольственных товаров,"город Москва, улица Маршала Бирюзова, дом 19",район Щукино,Северо-Западный административный округ,37.49093159396975,55.79427723748157,1896025.536099628,6414636.59792212
11,24,799,799,У Палыча,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, улица Маршала Бирюзова, дом 20, корпус 1",район Щукино,Северо-Западный административный округ,37.49029644310957,55.79555743320629,1895939.6905008384,6414761.414685248
12,27,927,927,У Палыча,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, Бутырская улица, дом 4",Бутырский район,Северо-Восточный административный округ,37.585933713180715,55.79483036207107,1901774.648460495,6416676.643404271
13,28,941,941,У Палыча,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, Бутырская улица, дом 95",Савёловский район,Северный административный округ,37.580530978794755,55.80738132114094,1900981.2276438016,6417916.599258412
14,33,1146,1146,Добрынинский и партнёры,Прочие специализированные продовольственные предприятия торговли,Добрынинский и партнёры,да,реализация продовольственных товаров,"город Москва, 2-я Владимирская улица, дом 38/18",район Перово,Восточный административный округ,37.78420005324544,55.75026229438048,1915477.4264377127,6416036.657727484
15,34,1157,1157,У Палыча,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, 2-я Владимирская улица, дом 40",район Перово,Восточный административный округ,37.784544999,55.74976099999989,1915517.1375473947,6415989.931448707
16,40,1389,1389,МЯСНОВЪ,Прочие специализированные продовольственные предприятия торговли,Мясновъ,да,реализация продовольственных товаров,"город Москва, улица Героев Панфиловцев, дом 35",район Северное Тушино,Северо-Западный административный округ,37.412033984329184,55.85594446618534,1888963.4267216998,6419648.481957885
17,42,1424,1424,Лит.ра,Прочие специализированные продовольственные предприятия торговли,Лит.ра,да,реализация продовольственных товаров,"город Москва, Городецкая улица, дом 3",район Новокосино,Восточный административный округ,37.86678116201347,55.74394804029779,1920731.4359393974,6417102.179171354
18,48,1481,1481,ИНДИЙСКИЕ СПЕЦИИ,Прочие специализированные продовольственные предприятия торговли,Индийские специи,да,реализация продовольственных товаров,"город Москва, 1-я Тверская-Ямская улица, дом 20/1",Тверской район,Центральный административный округ,37.590506,55.773596,1902839.83119326,6414483.39673796
19,50,1581,1581,У Палыча,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, улица Декабристов, дом 21",район Отрадное,Северо-Восточный административный округ,37.607703562805575,55.86396513201252,1900529.2707030247,6424582.2830917435
20,51,1582,1582,5lb Спортивное питание,Прочие специализированные продовольственные предприятия торговли,5lb,да,реализация продовольственных товаров,"город Москва, улица Декабристов, дом 21",район Отрадное,Северо-Восточный административный округ,37.607703562805575,55.86396513201252,1900529.2707030247,6424582.2830917435
21,57,1805,1805,Красная икра,Прочие специализированные продовольственные предприятия торговли,Красная икра,да,реализация продовольственных товаров,"город Москва, Енисейская улица, дом 17, корпус 1",Бабушкинский район,Северо-Восточный административный округ,37.662613628729154,55.86780472425888,1903713.4972320062,6426144.431143773
22,60,1909,1909,У Палыча,Прочие специализированные продовольственные предприятия торговли,У Палыча,да,реализация продовольственных товаров,"город Москва, Волгоградский проспект, дом 82/37",район Кузьминки,Юго-Восточный административный округ,37.767088621455905,55.70462760880208,1916143.0891523957,6410759.063713529
