,level_0,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,0,0,0,Шок-цена,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Беговая аллея, дом 3А",район Беговой,Северный административный округ,37.564782,55.78336099999989,1900915.1378077972,6414998.634922118
1,2,84,84,НАСТОЛЬНЫЕ ИГРЫ,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, улица Дмитрия Ульянова, дом 16, корпус 1",Академический район,Юго-Западный административный округ,37.569884753746464,55.68846086096968,1904739.8374768563,6404874.380737736
2,4,255,255,Магазин «Анди +»,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, улица Борисовские Пруды, дом 26",район Братеево,Южный административный округ,37.75818772088427,55.63998272697942,1918015.0808803327,6403605.308732155
3,6,302,302,«Автомаг» (АВТОЗАПЧАСТИ),Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Абрамцевская улица, дом 1",район Лианозово,Северо-Восточный административный округ,37.573050724590594,55.89300508497823,1897352.078895755,6426988.594090805
4,7,401,401,Вербена Имидж,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, улица Алабяна, дом 10, корпус 1",район Сокол,Северный административный округ,37.50408232868874,55.8006589255604,1896588.528884168,6415598.248138675
5,8,444,444,БЫТОВАЯ ХИМИЯ,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Алтуфьевское шоссе, дом 97",район Лианозово,Северо-Восточный административный округ,37.585986,55.902916000000005,1897767.473962887,6428326.313763233
6,9,451,451,ЛИГА ТЕКС,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, улица Амундсена, дом 15, корпус 2",район Свиблово,Северо-Восточный административный округ,37.65440276586865,55.85360577781658,1903744.6094483281,6424442.654136622
7,10,458,458,МАТРАСЫ,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Анадырский проезд, дом 17/1",Бабушкинский район,Северо-Восточный административный округ,37.68236720187,55.864401407857926,1905037.0272476529,6426191.613815315
8,11,490,490,Промтовары,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, проспект Андропова, дом 17, корпус 1",район Нагатинский Затон,Южный административный округ,37.6672552673771,55.6836222972495,1910849.3263253218,6406393.661755352
9,12,577,577,Рыболов,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Астраханский переулок, дом 1/15",Мещанский район,Центральный административный округ,37.63991142119727,55.77744814409546,1905698.134463871,6415932.460489758
10,13,581,581,Аква Терра Супермаркет Экзоменю,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Астраханский переулок, дом 5",Мещанский район,Центральный административный округ,37.640450229881026,55.77864846922642,1905686.2441663302,6416073.108841837
11,14,592,592,АВТОЗАПЧАСТИ,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, улица Лётчика Бабушкина, дом 5",Бабушкинский район,Северо-Восточный административный округ,37.672641,55.858286,1904675.600970672,6425328.924632742
12,15,595,595,СРЕДСТВА ПОЖАРОТУШЕНИЯ,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, улица Лётчика Бабушкина, дом 8",Бабушкинский район,Северо-Восточный административный округ,37.674409999999995,55.860003000000006,1904718.8232951632,6425550.9802799225
13,16,610,610,ТЕКСТИЛЬ ДЛЯ ДОМА,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, улица Лётчика Бабушкина, дом 31",Бабушкинский район,Северо-Восточный административный округ,37.675109,55.87053,1904368.9253426942,6426699.775630759
14,18,642,642,Сумки,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Байкальская улица, дом 39",район Гольяново,Восточный административный округ,37.81546958416324,55.81774056478936,1914848.6478453442,6423964.909768066
15,20,660,660,КОВРЫ,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Бакунинская улица, дом 38-42, строение 1",Басманный район,Центральный административный округ,37.68759947195757,55.77592314085531,1908651.3372449854,6416768.2713413015
16,21,672,672,Магазин «ПРОМТОВАРЫ»,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, улица Барклая, дом 11",район Филёвский Парк,Западный административный округ,37.496391205062274,55.74450271255276,1898194.9498561644,6409383.37440405
17,22,677,677,Астория Косметик,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Бауманская улица, дом 20, строение 2",Басманный район,Центральный административный округ,37.677211707045224,55.7752400123651,1908045.8687368329,6416476.608402316
18,23,678,678,ДАМСКОЕ СЧАСТЬЕ,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Бауманская улица, дом 20, строение 3",Басманный район,Центральный административный округ,37.67721734496949,55.77499642087256,1908055.2809007575,6416450.477461022
19,24,679,679,ИННА,Магазин «Промтовары»,,нет,реализация непродовольственных товаров,"город Москва, Бауманская улица, дом 33/2, строение 1",Басманный район,Центральный административный округ,37.67879640595408,55.772881480713885,1908229.940610807,6416255.713267627
