,ParkingName,CarCapacity,Address,District,AdmArea,Latitude_WGS84,Longitude_WGS84,Xs,Ys
0,Парковка №3020 (48),4,"город Москва, Малая Калужская улица, дом 27",Донской район,Южный административный округ,55.7155761500965,37.5950350994983,1905266.5046837737,6408323.82409537
1,Парковка №3020 (49),18,"город Москва, Малая Калужская улица, дом 15, строение 31",Донской район,Южный административный округ,55.7162786508982,37.5958853954602,1905292.2053415794,6408417.349914501
2,Парковка №3020 (50),4,"город Москва, Малая Калужская улица, дом 19",Донской район,Южный административный округ,55.7171731000712,37.5969770496551,1905325.4742413487,6408536.619499488
3,Парковка №3020 (51),9,"город Москва, Малая Калужская улица, дом 17",Донской район,Южный административный округ,55.7176097001944,37.5975188490692,1905342.2560816647,6408595.024774257
4,Парковка №3020 (52),10,"город Москва, Малая Калужская улица, дом 12",Донской район,Южный административный округ,55.717173100327,37.5967463983698,1905311.4386238384,6408531.7923319675
5,Парковка №3020 (53),3,"город Москва, Малая Калужская улица, дом 15, строение 4",Донской район,Южный административный округ,55.7180040500524,37.5979936497305,1905356.5266408932,6408647.473267572
6,Парковка №3020 (42),3,"город Москва, 5-й Донской проезд, дом 15",Донской район,Южный административный округ,55.7083881500325,37.5991871997951,1905785.6944848248,6407635.844156509
7,Парковка №3020 (43),14,"город Москва, 5-й Донской проезд, дом 15",Донской район,Южный административный округ,55.7079741001384,37.5987445991131,1905774.1060184818,6407581.943097846
8,Парковка №3020 (44),14,"город Москва, 5-й Донской проезд, дом 15",Донской район,Южный административный округ,55.707230550375,37.5983154976583,1905775.554586785,6407492.803425168
9,Парковка №3020 (45),8,"город Москва, 5-й Донской проезд, дом 15, строение 2",Донской район,Южный административный округ,55.7066230501552,37.5977253989863,1905762.1581028618,6407414.960071756
10,Парковка №3020 (46),7,"город Москва, 5-й Донской проезд, дом 15, строение 42",Донской район,Южный административный округ,55.7061334501382,37.5972425991554,1905750.920756982,6407352.072894183
11,Парковка №3005 (214),24,"город Москва, Большая Екатерининская улица, дом 27",Мещанский район,Центральный административный округ,55.7837771038504,37.6223963612526,1904399.1576141233,6416247.789721753
12,Парковка №3017 (4),16,"город Москва, улица Золоторожский Вал, дом 32, строение 15",район Лефортово,Юго-Восточный административный округ,55.7497994514828,37.6837706436426,1909391.6469721862,6413872.793218755
13,Парковка №3017 (5),20,"город Москва, улица Золоторожский Вал, дом 11, строение 33",район Лефортово,Юго-Восточный административный округ,55.749687751182,37.6839744948638,1909408.1962423234,6413865.037146926
14,Парковка №3017 (6),22,"город Москва, улица Золоторожский Вал, дом 22",район Лефортово,Юго-Восточный административный округ,55.7508923519375,37.6852619414628,1909441.5895184139,6414021.887542809
15,Парковка №3017 (7),21,"город Москва, улица Золоторожский Вал, дом 11, строение 20",район Лефортово,Юго-Восточный административный округ,55.7507746019069,37.6855140916869,1909461.299462751,6414014.494243017
16,Парковка №3017 (8),15,"город Москва, улица Золоторожский Вал, дом 6, строение 18",район Лефортово,Юго-Восточный административный округ,55.7517612374816,37.6866418670374,1909493.0995512144,6414144.503095756
17,Парковка №3017 (9),5,"город Москва, улица Золоторожский Вал, дом 6, строение 18",район Лефортово,Юго-Восточный административный округ,55.7524712502183,37.6875740491093,1909523.3105807914,6414240.5946168285
18,Парковка №3017 (10),1,"город Москва, улица Золоторожский Вал, дом 6, строение 9",район Лефортово,Юго-Восточный административный округ,55.7529965500341,37.6883464998732,1909550.6912124592,6414313.426425506
19,Парковка №3017 (11),7,"город Москва, улица Золоторожский Вал, дом 11, строение 29",район Лефортово,Юго-Восточный административный округ,55.7531520502342,37.6888426989585,1909575.0551795482,6414340.605842637
20,Парковка №3017 (12),3,"город Москва, улица Золоторожский Вал, дом 6, строение 6",район Лефортово,Юго-Восточный административный округ,55.7532894000383,37.6888078498434,1909567.8216428638,6414354.6747892015
21,Парковка №3017 (13),6,"город Москва, улица Золоторожский Вал, дом 4А, строение 6",район Лефортово,Юго-Восточный административный округ,55.7536124501064,37.6892852495527,1909584.8020740056,6414399.514753546
22,Парковка №3008 (287),6,"город Москва, Хлебников переулок, дом 7, строение 3",Таганский район,Центральный административный округ,55.7475494000253,37.673702999631,1908863.4716726711,6413418.927158025
