,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,50,50,МБЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, Автозаводская улица, дом 9/1",Даниловский район,Южный административный округ,37.6588423548592,55.707131676282636,1909463.075593613,6408750.940501687
1,121,121,МОСГОРЛОМБАРД-АРБАТСКИИ ГУП МГКЛ,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Арбат, дом 11",район Арбат,Центральный административный округ,37.5978290700965,55.75114181056596,1904117.6511176385,6412216.169788042
2,126,126,Ломбард,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Арбат, дом 38/1, строение 2",район Арбат,Центральный административный округ,37.58788415860787,55.74895816511452,1903594.0039085653,6411772.801644001
3,221,221,МАЛКИ,услуги ломбарда,,нет,бытовые услуги,"город Москва, Башиловская улица, дом 21",Савёловский район,Северный административный округ,37.574773106624306,55.8013035125064,1900857.0112807343,6417141.270480899
4,260,260,ЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Маршала Бирюзова, дом 16",район Щукино,Северо-Западный административный округ,37.491709793339744,55.79476126986192,1896054.9322795826,6414704.972248487
5,262,262,ЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Маршала Бирюзова, дом 17",район Щукино,Северо-Западный административный округ,37.4925037837588,55.7936922842267,1896142.630697878,6414606.233212277
6,264,264,ЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Маршала Бирюзова, дом 18",район Щукино,Северо-Западный административный округ,37.49109597815374,55.795120549349456,1896004.383883185,6414730.941103944
7,268,268,ЛОМБАРД «ЧЕРВОНЕЦ»,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Маршала Бирюзова, дом 34",район Щукино,Северо-Западный административный округ,37.48097734121444,55.80049498356655,1895191.42744859,6415099.992783752
8,294,294,Ломбард «Центр Кредит М»,услуги ломбарда,,нет,бытовые услуги,"город Москва, Боровское шоссе, дом 30",район Ново-Переделкино,Западный административный округ,37.356570877434805,55.641516106764094,1893463.7581831715,6395370.335700045
9,301,301,ДИЗАЙН КОМПЛЕКС,услуги ломбарда,,нет,бытовые услуги,"город Москва, Ботаническая улица, дом 10",район Марфино,Северо-Восточный административный округ,37.585473407123295,55.8452796890354,1899875.4097560304,6422104.415873492
10,331,331,Ломбард,услуги ломбарда,,нет,бытовые услуги,"город Москва, Бутырская улица, дом 2/18",Бутырский район,Северо-Восточный административный округ,37.58652149442232,55.79435528404101,1901827.9577783968,6416637.716861966
11,378,378,Ломбард,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Маршала Василевского, дом 15",район Щукино,Северо-Западный административный округ,37.46482170340927,55.807708154927056,1893944.2132618225,6415542.017146995
12,379,379,ЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Маршала Василевского, дом 15",район Щукино,Северо-Западный административный округ,37.464072369200395,55.8079722037877,1893888.973331777,6415554.923840922
13,382,382,ЛОМБАРД ЗАЛОГ УСПЕХА (Ювелирный ломбард),услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Маршала Василевского, дом 17",район Щукино,Северо-Западный административный округ,37.46182536775703,55.80878499846185,1893722.556156142,6415595.895012832
14,383,383,Свой Ломбард,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Маршала Василевского, дом 17",район Щукино,Северо-Западный административный округ,37.46182536775703,55.80878499846185,1893722.556156142,6415595.895012832
15,405,405,Ломбард,услуги ломбарда,,нет,бытовые услуги,"город Москва, проспект Вернадского, дом 97, корпус 1",район Тропарёво-Никулино,Западный административный округ,37.491156,55.66747099999991,1900718.307150535,6400967.282356817
16,447,447,ЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, 2-я Владимирская улица, дом 32, корпус 1",район Перово,Восточный административный округ,37.78339007145925,55.75204117003391,1915361.6710026844,6416211.205892167
17,449,449,ЛОМБАРД ПОБЕДА,услуги ломбарда,,нет,бытовые услуги,"город Москва, 2-я Владимирская улица, дом 41, корпус 1",район Перово,Восточный административный округ,37.784774679330425,55.751916748783685,1915450.4493674026,6416227.013492097
18,451,451,ЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, Зелёный проспект, дом 23/43",район Перово,Восточный административный округ,37.785057686431905,55.751254328134706,1915492.4246411475,6416161.622821959
19,453,453,ЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, Зелёный проспект, дом 23/43",район Перово,Восточный административный округ,37.76624637658305,55.74762175460842,1914485.2326146844,6415373.548210748
20,466,466,Ломабрд «Алмаз»,услуги ломбарда,,нет,бытовые услуги,"город Москва, 2-й Войковский проезд, дом 2/11",Войковский район,Северный административный округ,37.49680962748083,55.817642177483535,1895519.560452243,6417277.921888517
21,477,477,ФИНАНСОВАЯ КОМПАНИЯ «БИНГО - КРЕДИТ»,услуги ломбарда,,нет,бытовые услуги,"город Москва, Волгоградский проспект, дом 53",район Текстильщики,Юго-Восточный административный округ,37.73267,55.709904,1913852.0870387976,6410602.0774783725
22,551,551,Ломбард,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Бориса Галушкина, дом 12",Алексеевский район,Северо-Восточный административный округ,37.65396239976448,55.823975114099596,1904820.65700364,6421240.698800591
23,555,555,Ломбард,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Бориса Галушкина, дом 23",Алексеевский район,Северо-Восточный административный округ,37.66543795241753,55.821369619256025,1905613.738190175,6421200.397331513
24,556,556,Ломбард от 8,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Гарибальди, дом 21, корпус 4",район Черёмушки,Юго-Западный административный округ,37.55246671836965,55.67218881661056,1904280.791632028,6402755.731167072
25,560,560,МОСГОРЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, Гвардейская улица, дом 5, корпус 2",Можайский район,Западный административный округ,37.422554,55.722240999999904,1894522.1850778288,6405447.46316485
26,566,566,ЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Героев Панфиловцев, дом 1, корпус 1",район Северное Тушино,Северо-Западный административный округ,37.4372112406138,55.85242789383514,1890619.9647257756,6419790.889148186
27,567,567,СКУПКА,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Героев Панфиловцев, дом 8, корпус 1",район Северное Тушино,Северо-Западный административный округ,37.43922331629151,55.85481124340789,1890654.1629122845,6420089.5734440815
28,568,568,АВАНСЪ - ЛОМБАРДЪ,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Героев Панфиловцев, дом 8, корпус 1",район Северное Тушино,Северо-Западный административный округ,37.43922331629151,55.85481124340789,1890654.1629122845,6420089.5734440815
29,598,598,Ломбард,услуги ломбарда,,нет,бытовые услуги,"город Москва, 1-й Гончарный переулок, дом 7",Таганский район,Центральный административный округ,37.649716434780835,55.74010209156817,1907682.2384281112,6412113.024942976
30,602,602,Ломбард,услуги ломбарда,,нет,бытовые услуги,"город Москва, Городецкая улица, дом 3",район Новокосино,Восточный административный округ,37.866781162013474,55.74394804029778,1920731.4359393974,6417102.179171354
31,623,623,ЛОМБАРД СТОЛИЧНЫЙ,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Грекова, дом 4",район Северное Медведково,Северо-Восточный административный округ,37.6622125135492,55.88538924610889,1903034.287653993,6428030.563328108
32,624,624,ЛОМБАРД,услуги ломбарда,,нет,бытовые услуги,"город Москва, улица Грекова, дом 8",район Северное Медведково,Северо-Восточный административный округ,37.66253469778944,55.88647388135882,1903013.3967807812,6428154.162373936
