,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,17,17,Сервисный центр,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Филипповский переулок, дом 16",район Арбат,Центральный административный округ,37.59870681752143,55.74954169027603,1904230.3619069182,6412062.050048097
1,18,18,Ремонт телефонов,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Авангардная улица, дом 12",Головинский район,Северный административный округ,37.48967135207502,55.846706340359326,1894012.83772032,6420262.853754698
2,20,20,Мастерская Айсберг,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Авангардная улица, дом 16",Головинский район,Северный административный округ,37.489541016531696,55.84736459565426,1893980.618049124,6420331.108441317
3,27,27,Ремонт телефонов,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Авиамоторная улица, дом 47",район Лефортово,Юго-Восточный административный округ,37.718474071807925,55.750211166145725,1911485.4387346925,6414646.551332697
4,47,47,Ремонт сотовых телефонов и компьютеров,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Автозаводская улица, дом 13/1",Даниловский район,Южный административный округ,37.656424,55.705402,1909380.198449221,6408513.746430477
5,69,69,РГ Сервис,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, улица Алабяна, дом 12, корпус 1",район Сокол,Северный административный округ,37.5020649981457,55.79924060282,1896518.418580811,6415403.354504118
6,82,82,Ремонт бытовой техники,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 64",Алтуфьевский район,Северо-Восточный административный округ,37.58772248283848,55.88475271151847,1898546.856354843,6426405.25735982
7,85,85,РЕМОНТ КОМПЬЮТЕРОВ И СОТОВЫХ ТЕЛЕФОНОВ,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 83",район Лианозово,Северо-Восточный административный округ,37.585557169310704,55.8904544371495,1898204.0811530575,6426974.51522381
8,101,101,Арном-Л,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Анадырский проезд, дом 41",Лосиноостровский район,Северо-Восточный административный округ,37.693522,55.87046,1905486.8698964212,6427078.178410757
9,149,149,СОВИНСЕРВИС,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Певческий переулок, дом 1/2, строение 1",Таганский район,Центральный административный округ,37.64225138086268,55.75185622400848,1906791.5145271854,6413223.342014262
10,191,191,Ремонт телефонов «Прохорова»,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Балаклавский проспект, дом 5",район Чертаново Северное,Южный административный округ,37.609615924607056,55.64020382204867,1908948.8713946769,6400503.390916981
11,192,192,Ремонт кассовых аппаратов,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Балаклавский проспект, дом 5",район Чертаново Северное,Южный административный округ,37.61057730966111,55.6403697166745,1909001.3475867892,6400541.434739344
12,220,220,Ремонт ТВ,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Башиловская улица, дом 19",Савёловский район,Северный административный округ,37.5754142774964,55.7998220054005,1900950.8554524963,6416994.969442528
13,225,225,Компютерная клиника № 772,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Беговая улица, дом 7",район Беговой,Северный административный округ,37.55612578259169,55.7784175894533,1900572.3545147981,6414285.0755356075
14,245,245,РЕМОНТ ЭЛЕКТРОБЫТОВОЙ ТЕХНИКИ,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, улица Берзарина, дом 16",район Щукино,Северо-Западный административный округ,37.4866243825979,55.788227382455105,1895987.2327047568,6413894.719452035
15,247,247,ЦВЕТКОВ С. В.,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Берингов проезд, дом 1",район Свиблово,Северо-Восточный административный округ,37.65624802531661,55.856033070034336,1903766.0889020457,6424742.822287968
16,277,277,Ремонт телефонов,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, улица Богданова, дом 58",район Солнцево,Западный административный округ,37.391641996962704,55.6481591117291,1895360.121158277,6396814.383607692
17,295,295,Сервисный центр по ремонту компьютеров,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Боровское шоссе, дом 33",район Ново-Переделкино,Западный административный округ,37.360684212305735,55.64184440273626,1893702.7492423,6395491.00419171
18,296,296,Ремонт бытовых приборов,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Боровское шоссе, дом 36",район Ново-Переделкино,Западный административный округ,37.3540006038247,55.6397267540484,1893372.45352852,6395124.0022341125
19,298,298,Торговый дом Солнцево,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Боровское шоссе, дом 36",район Ново-Переделкино,Западный административный округ,37.354259797604776,55.639901363993935,1893381.8754780702,6395148.213644266
20,387,387,Мастерская «Ремонт электроники»,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, Васильевская улица, дом 3",Пресненский район,Центральный административный округ,37.58551291399017,55.77049929189024,1902651.27661574,6414045.238478279
21,409,409,Ремонт телефонов,"ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры, бытовых машин и бытовых приборов, техники",,нет,бытовые услуги,"город Москва, проспект Вернадского, дом 109",район Тропарёво-Никулино,Западный административный округ,37.483714999999904,55.662212,1900458.5879676868,6400245.015866525
