,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,1,1,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Егора Абакумова, дом 11",Ярославский район,Северо-Восточный административный округ,37.713471464223524,55.879367167274154,1906362.69112048,6428456.187905667
1,5,5,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Абрамцевская улица, дом 1",район Лианозово,Северо-Восточный административный округ,37.573173903089504,55.8919445072272,1897398.882238913,6426876.868583745
2,9,9,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Абрамцевская улица, дом 4, корпус 1",район Лианозово,Северо-Восточный административный округ,37.5765320287772,55.8928830313232,1897567.4208536374,6427048.017416604
3,12,12,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Абрамцевская улица, дом 9, корпус 1",район Лианозово,Северо-Восточный административный округ,37.5724014268944,55.9050517079255,1896865.8559571141,6428273.247927022
4,21,21,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Авангардная улица, дом 16",Головинский район,Северный административный округ,37.489541016531696,55.84736459565426,1893980.618049124,6420331.108441317
5,32,32,"МАСТЕРСКАЯ ПО РЕМОНТУ ОБУВИ,ЧАСОВ","ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Авиационная улица, дом 67, корпус 1",район Щукино,Северо-Западный административный округ,37.4540446721514,55.809385412341,1893227.9621671808,6415499.078916973
6,38,38,Ильяшик М.В.,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Авиаторов, дом 18",район Солнцево,Западный административный округ,37.3997637258598,55.644605255197796,1895986.0888204547,6396599.562786585
7,42,42,Ремонт обуви и сумок,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Автозаводская улица, дом 13/1",Даниловский район,Южный административный округ,37.656424,55.705402,1909380.198449221,6408513.746430477
8,66,66,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Большая Академическая улица, дом 73, корпус 1",район Коптево,Северный административный округ,37.552888,55.842416,1898005.564734991,6421116.077075998
9,78,78,РЕМОНТ ОБУВИ,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 56",Алтуфьевский район,Северо-Восточный административный округ,37.58778355957799,55.880906121754116,1898693.3351043419,6425992.013316062
10,86,86,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 86",район Бибирево,Северо-Восточный административный округ,37.5895139204086,55.8976926110459,1898174.97337507,6427837.034361524
11,106,106,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Ангарская улица, дом 21",район Западное Дегунино,Северный административный округ,37.51675201581081,55.876843201237364,1894540.4921963632,6424074.496788295
12,117,117,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Академика Анохина, дом 6, корпус 2",район Тропарёво-Никулино,Западный административный округ,37.471216,55.668060999,1899481.0482207853,6400615.492787467
13,204,204,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Батайский проезд, дом 41",район Марьино,Юго-Восточный административный округ,37.734203383045795,55.643652960402726,1916416.2690703038,6403494.822463972
14,286,286,РЕМОНТ ОБУВИ,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Болотниковская улица, дом 53, корпус 2",район Зюзино,Юго-Западный административный округ,37.58029963829951,55.66296035143,1906318.5103569063,6402342.828627315
15,322,322,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Булатниковская улица, дом 1, корпус 1А",район Бирюлёво Западное,Южный административный округ,37.65008892880191,55.5827334922731,1913550.6216639609,6395156.8745228425
16,323,323,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Булатниковский проезд, дом 2В, корпус 5",район Бирюлёво Западное,Южный административный округ,37.6485439754094,55.5964359793909,1912947.651022366,6396601.746915416
17,363,363,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Варшавское шоссе, дом 77, корпус 2",Нагорный район,Южный административный округ,37.621275483631486,55.65767331730285,1909011.872309001,6402631.316738001
18,391,391,Даллатян К.С.,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Введенского, дом 16",район Коньково,Юго-Западный административный округ,37.540474245444685,55.642511888750334,1904646.793400267,6399304.916673969
19,397,397,"Ремонт обуви, изготовление ключей","ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Вельяминовская улица, дом 6",район Соколиная Гора,Восточный административный округ,37.72293372517599,55.78173274544246,1910580.4444937748,6418136.693540247
20,403,403,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, проспект Вернадского, дом 97, корпус 1",район Тропарёво-Никулино,Западный административный округ,37.490882,55.6674649999999,1900701.82617467,6400960.924216612
21,419,419,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Весёлая улица, дом 4",район Царицыно,Южный административный округ,37.666190999999905,55.622294,1913064.1679616987,6399760.4610094875
22,428,428,ПЫРКИНА М.Я.,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Вильнюсская улица, дом 3, корпус 1",район Ясенево,Юго-Западный административный округ,37.5244289979142,55.605456081213404,1905036.2273148943,6394973.257631849
23,437,437,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, 1-я Владимирская улица, дом 21",район Перово,Восточный административный округ,37.776921106101824,55.75608422501774,1914817.4390992925,6416510.314324554
24,445,445,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, 2-я Владимирская улица, дом 13",район Перово,Восточный административный округ,37.7796025562226,55.760078791422,1914830.9328281616,6416997.19585302
25,455,455,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, 3-я Владимирская улица, дом 16",район Перово,Восточный административный округ,37.7870008021022,55.759387790919,1915306.1777652928,6417078.813421216
26,482,482,КВАРТЕТ,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Волжский бульвар, дом 8, корпус 1",район Текстильщики,Юго-Восточный административный округ,37.740493,55.717756,1914034.9849545476,6411612.95515811
27,485,485,Ремонт Обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Волжский бульвар, дом 40",район Текстильщики,Юго-Восточный административный округ,37.749762,55.700186,1915254.7069358858,6409915.070849601
28,499,499,Березка Ремонт Обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Волоколамское шоссе, дом 1, корпус А",район Сокол,Северный административный округ,37.503828,55.805781,1896383.8387507475,6416145.172366167
29,508,508,АЛТАН-М,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Волховский переулок, дом 2",Басманный район,Центральный административный округ,37.6841422544568,55.7727242431834,1908560.5071729475,6416350.985155364
30,524,524,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица 800-летия Москвы, дом 4, корпус 2",Бескудниковский район,Северный административный округ,37.536234520537505,55.876055339535604,1895750.164131091,6424394.943844613
31,538,538,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, 4-й Вятский переулок, дом 14",Савёловский район,Северный административный округ,37.574285890806095,55.8008708268506,1900843.469330007,6417084.459909143
32,539,539,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Габричевского, дом 10, корпус 2",район Покровское-Стрешнево,Северо-Западный административный округ,37.461390160186,55.816219365429504,1893421.9664821676,6416388.45441989
33,542,542,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Габричевского, дом 10, корпус 2",район Покровское-Стрешнево,Северо-Западный административный округ,37.46136488200155,55.816226118838756,1893420.1828152973,6416388.657697233
34,546,546,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Бориса Галушкина, дом 9",Алексеевский район,Северо-Восточный административный округ,37.655120882653584,55.824649454060804,1904865.8346686081,6421337.629457199
35,585,585,РЕМОНТ ОБУВИ,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Генерала Глаголева, дом 11, корпус 1",район Хорошёво-Мнёвники,Северо-Западный административный округ,37.4691440856822,55.7806564634699,1895204.469468172,6412714.951142081
36,615,615,Дом быта,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, 1-я Тверская-Ямская улица, дом 20/1",Тверской район,Центральный административный округ,37.590627727322186,55.77357140787747,1902848.13896279,6414483.290479002
37,639,639,Ателье «Костюмчик»,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Большая Грузинская улица, дом 42",Пресненский район,Центральный административный округ,37.580903634533975,55.768590025419726,1902441.9706870215,6413743.110329667
38,648,648,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Гурьянова, дом 3",район Печатники,Юго-Восточный административный округ,37.722591,55.691645,1913919.666144808,6408422.1994465925
39,651,651,Мастерская по ремонту обуви и одежды,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Даев переулок, дом 2",Красносельский район,Центральный административный округ,37.63427029105289,55.770349389433285,1905619.270855881,6415049.233320902
40,658,658,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Минская улица, дом 22",район Филёвский Парк,Западный административный округ,37.48150924067728,55.7424550405689,1897365.274214324,6408852.793308898
41,661,661,ЛЮКС МЭН,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, Дегтярный переулок, дом 5, строение 1",Тверской район,Центральный административный округ,37.60163439260713,55.76804662901328,1903721.8426430987,6414117.930647273
42,667,667,Ремонт обуви,"ремонт, окраска и пошив обуви",,нет,бытовые услуги,"город Москва, улица Декабристов, дом 2, корпус 1",район Отрадное,Северо-Восточный административный округ,37.5903810257559,55.868259718969,1899320.1080015386,6424683.3866661675
