,NameOfStation,Name,Latitude_WGS84,Longitude_WGS84,Xs,Ys
0,Китай-город,"Китай-город, вход-выход 3 в северный вестибюль",55.7567672,37.6309849,1905924.2510740776,6413516.558936407
1,Китай-город,"Китай-город, вход-выход 8 в северный вестибюль",55.7573154,37.6316766,1905945.9259315343,6413590.13360499
2,Китай-город,"Китай-город, вход-выход 4 в северный вестибюль",55.7568819,37.6312698,1905937.3057693376,6413534.889386951
3,Китай-город,"Китай-город, вход-выход 7 в северный вестибюль",55.7572362,37.6319506,1905965.5210320628,6413587.337398872
4,Китай-город,"Китай-город, вход-выход 6 в южный вестибюль",55.7531976,37.6331045,1906185.6892192718,6413176.232675528
5,Китай-город,"Китай-город, вход-выход 5 в южный вестибюль",55.7531116,37.6336406,1906221.4702720323,6413178.195714072
6,Китай-город,"Китай-город, вход-выход 1 из южного вестибюля",55.7541345,37.6341765,1906216.0411864007,6413299.671573095
7,Китай-город,"Китай-город, вход-выход 2 в южный вестибюль",55.7540238,37.6349733,1906268.5849695865,6413304.435253191
8,Китай-город,"Китай-город, вход-выход 2 в северный вестибюль",55.756604,37.6296491,1905849.125944507,6413470.987731659
9,Калужская,"Калужская, вход-выход 6 в южный вестибюль",55.6553856,37.5392381,1904095.6769650646,6400667.360295197
10,Братиславская,"Братиславская, вход-выход 2 в северный вестибюль",55.660114,37.7526435,1916925.8833848955,6405657.744171874
11,Братиславская,"Братиславская, вход-выход 1 в северный вестибюль",55.6600507,37.7517426,1916873.363132617,6405631.915718677
12,Бульвар адмирала Ушакова,"Бульвар адмирала Ушакова, вход-выход в вестибюль",55.5450107,37.5416454,1908319.6877864597,6388813.760029847
13,Бульвар Дмитрия Донского,"Бульвар Дмитрия Донского, вход-выход 4 в северный вестибюль",55.5702548,37.5764394,1909513.8176177673,6392265.238667846
14,Бульвар Дмитрия Донского,"Бульвар Дмитрия Донского, вход-выход 3 в северный вестибюль",55.5700929,37.5771475,1909563.0759515082,6392262.619302419
15,Бунинская аллея,"Бунинская аллея, вход-выход в вестибюль",55.5376805,37.5149399,1906956.6968206482,6387464.342143277
16,Варшавская,"Варшавская, вход-выход 2 в южный вестибюль",55.653075,37.61792,1908977.9079953867,6402065.205452394
17,Варшавская,"Варшавская, вход-выход 1 в северный вестибюль",55.6532132,37.6207903,1909147.7471963575,6402140.30043826
18,Калужская,"Калужская, вход-выход 3 в южный вестибюль",55.6563232,37.5402196,1904120.8664291815,6400788.9751476105
19,Калужская,"Калужская, вход-выход 1 в северный вестибюль",55.6581538,37.5409869,1904099.9890131145,6401002.411371447
20,Кантемировская,"Кантемировская, вход-выход 1 в южный вестибюль",55.6346647,37.6571455,1912052.84066027,6400903.902577274
21,Кантемировская,"Кантемировская, вход-выход 2 в южный вестибюль",55.6350525,37.6576959,1912071.9979208142,6400957.274733046
22,Кантемировская,"Кантемировская, вход-выход 2 в северный вестибюль",55.6367212,37.6553567,1911867.3646265515,6401088.008826718
23,Каховская,"Каховская, вход-выход 4 в южный вестибюль",55.6528887,37.5964667,1907677.02708836,6401595.454058554
24,Калужская,"Калужская, вход-выход 4 в северный вестибюль",55.6578591,37.5418665,1904164.504771567,6400989.011624579
25,Кантемировская,"Кантемировская, вход-выход 3 в северный вестибюль",55.636917,37.656097,1911905.2331621312,6401124.672039434
26,Братиславская,"Братиславская, вход-выход 3 в северный вестибюль",55.6599107,37.7521499,1916903.400699435,6405625.421903072
27,Беговая,"Беговая, вход-выход 2 во 2-й вестибюль",55.7733859,37.54459,1900057.6903976635,6413501.967019499
28,Беговая,"Беговая, вход-выход 1 во 2-й вестибюль",55.774,37.5446657,1900039.5647619893,6413569.748991816
29,Беговая,"Беговая, вход-выход 1 в 1-й вестибюль",55.7732229,37.5488844,1900324.675542134,6413573.981418693
30,Беговая,"Беговая, вход-выход 3 в 1-й вестибюль",55.774375,37.549137,1900297.3809975048,6413703.451669074
31,Белорусская,"Белорусская, вход в западный вестибюль",55.7753945,37.5826448,1902295.5299102727,6414512.965049925
32,Белорусская,"Белорусская, вход в вестибюль",55.7772182,37.5820187,1902189.884358595,6414696.462128639
33,Белорусская,"Белорусская, вход-выход 1 в восточный (новый) вестибюль",55.777448,37.585696,1902404.7671848056,6414798.0718194125
34,Беляево,"Беляево, вход-выход 1 в южный вестибюль",55.6418619,37.5253262,1903746.890002311,6398918.345862594
35,Беляево,"Беляево, вход-выход 3 в южный вестибюль",55.6415467,37.5258676,1903791.5518893145,6398895.660512435
36,Беляево,"Беляево, вход-выход 1 в северный вестибюль",55.643846,37.5267264,1903759.022025152,6399161.562971873
37,Каширская,"Каширская, вход в южный вестибюль",55.6544846,37.6478561,1910750.2997393694,6402845.369379292
38,Каширская,"Каширская, вход в северный вестибюль",55.655628,37.649519,1910809.1822760354,6403003.547771283
39,Киевская,"Киевская, выход 1 из вестибюля к пригородным поездам",55.742922,37.564427,1902391.2892598237,6410631.868644496
40,Киевская,"Киевская, выход 2 из вестибюля на площадь",55.743152,37.565065,1902421.5717396608,6410669.991043266
41,Киевская,"Киевская, вход-выход 1 в вестибюль",55.743792,37.567119,1902522.7810140455,6410781.894387041
42,Киевская,"Киевская, вход-выход 2 в вестибюль",55.743743,37.56757,1902552.0220500636,6410786.033837667
43,Китай-город,"Китай-город, вход-выход 1 в северный вестибюль",55.7562297,37.6301157,1905891.3889890043,6413440.419474772
44,Китай-город,"Китай-город, вход-выход 5 в северный вестибюль",55.7569941,37.6306312,1905894.3251941637,6413533.6049476005
45,Калужская,"Калужская, вход-выход 5 в южный вестибюль",55.6556897,37.5384065,1904033.7377394296,6400682.778510252
46,Калужская,"Калужская, вход-выход 1 в южный вестибюль",55.6565991,37.5393716,1904058.9703902379,6400801.009030318
47,Каховская,"Каховская, вход-выход 3 в южный вестибюль",55.6530037,37.5969816,1907704.1552529845,6401618.640319043
48,Каховская,"Каховская, вход-выход 2 в южный вестибюль",55.6524548,37.5967073,1907707.7716100996,6401553.712446589
49,Каховская,"Каховская, вход-выход 1 в южный вестибюль",55.6525546,37.597159,1907731.6104931468,6401573.935991875
50,Каховская,"Каховская, вход-выход 2 в северный вестибюль",55.6534068,37.5997069,1907855.3552626162,6401719.200794082
51,Каховская,"Каховская, вход-выход 4 в северный вестибюль",55.6529558,37.5998679,1907881.8830897086,6401673.948884808
52,Каховская,"Каховская, вход-выход 3 в северный вестибюль",55.653416,37.6001946,1907884.7446972337,6401730.41151863
53,Каховская,"Каховская, вход-выход 1 в северный вестибюль",55.6529588,37.6003877,1907913.459498766,6401685.16390853
54,Водный стадион,"Водный стадион, вход в южный вестибюль",55.839091,37.487262,1894147.9617511907,6419391.800839156
55,Войковская,"Войковская, вход-выход 2 в северный вестибюль",55.8198862,37.4966084,1895424.4514585296,6417515.66423554
56,Войковская,"Войковская, вход-выход 3 в северный вестибюль",55.8200536,37.4978475,1895493.4752505794,6417559.482030864
57,Владыкино,"Владыкино, вход в северный вестибюль",55.8483448,37.5903673,1900058.4036367594,6422536.911982161
58,Водный стадион,"Водный стадион, вход в северный вестибюль",55.8405471,37.4861169,1894024.721150225,6419524.98357627
59,Войковская,"Войковская, вход-выход 3 в южный вестибюль",55.8180816,37.4980328,1895577.573096538,6417350.736270851
60,Войковская,"Войковская, вход-выход 2 в южный вестибюль",55.8183579,37.4990514,1895629.192919076,6417401.710470543
61,Войковская,"Войковская, вход-выход 1 в южный вестибюль",55.8178071,37.4995989,1895682.774332227,6417353.717516497
62,Волгоградский проспект,"Волгоградский проспект, вход-выход 1 в восточный вестибюль",55.7256857,37.685034,1910366.2727377953,6411300.677726284
63,Волжская,"Волжская, вход-выход 2 в южный вестибюль",55.6907047,37.7564272,1916014.328437249,6409033.970637406
64,Волоколамская,"Волоколамская, вход в северный вестибюль",55.836391,37.381439,1887826.3930175311,6416906.819560891
65,Волоколамская,"Волоколамская, вход в южный вестибюль",55.834667,37.383293,1888002.2724453583,6416759.2408710485
66,Воробьёвы горы,"Воробьёвы горы, вход-выход 1 в южный вестибюль",55.7090889,37.5579244,1903248.0723520587,6406848.432128883
67,Воробьёвы горы,"Воробьёвы горы, вход 1 в северный вестибюль",55.7117344,37.5616417,1903376.4373272173,6407211.331834999
68,Воробьёвы горы,"Воробьёвы горы, вход 2 в северный вестибюль",55.7119958,37.5611434,1903336.4316118376,6407229.102072146
69,Воробьёвы горы,"Воробьёвы горы, вход-выход 2 в южный вестибюль",55.7091802,37.5573612,1903210.409890368,6406846.508607096
70,Выставочная,"Выставочная, вход-выход 2 в вестибюль со стороны моста Багратион",55.7483761,37.5440139,1900948.0647386871,6410793.6870856425
71,Выставочная,"Выставочная, вход 1 в вестибюль со стороны Экспоцентра",55.750243,37.542609,1900793.5695356743,6410965.645508218
72,Выхино,"Выхино, вход-выход 1 в вестибюль",55.7158154,37.8191351,1918890.361297083,6413063.62898923
73,Выхино,"Выхино, вход-выход 6 в вестибюль",55.7157276,37.8176759,1918804.9131006077,6413023.319149167
74,Выставочный центр,"Выставочный центр, вход-выход в вестибюль",55.8242068,37.6386606,1903883.8331219433,6420945.248387477
75,Динамо,"Динамо, вход в северный вестибюль",55.790523,37.556447,1900143.6030277296,6415596.719059296
76,Динамо,"Динамо, вход в южный вестибюль",55.7889852,37.559939,1900412.6440123913,6415503.816574468
77,Дмитровская,"Дмитровская, вход-выход 1 в вестибюль",55.807873,37.580249,1900945.880189955,6417963.706147021
78,Дмитровская,"Дмитровская, вход-выход 3 в вестибюль",55.8080919,37.5814213,1901008.921943942,6418011.780322451
79,Добрынинская,"Добрынинская, вход в вестибюль",55.7290528,37.6227295,1906451.5033082366,6410356.429978568
80,Домодедовская,"Домодедовская, вход-выход 7 в северный вестибюль",55.610926,37.716543,1916558.834683203,6399595.147243651
81,Беляево,"Беляево, вход-выход 3 в северный вестибюль",55.6434915,37.5272194,1903802.1823164774,6399133.629154193
82,Бибирево,"Бибирево, вход-выход 2 в южный вестибюль",55.884046,37.6046466,1899598.1329715757,6426682.324889903
83,Бибирево,"Бибирево, вход-выход 1 в северный вестибюль",55.884215,37.601567,1899405.3376355472,6426636.240903584
84,Бибирево,"Бибирево, вход-выход 3 в южный вестибюль",55.88357,37.605269,1899653.511644039,6426644.028285437
