,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,15,15,Атак,Супермаркет,Атак,да,реализация продовольственных товаров,"город Москва, Широкая улица, дом 29",район Северное Медведково,Северо-Восточный административный округ,37.67701117381742,55.887761594315904,1903841.9326804597,6428596.039717205
1,20,20,Пятерочка,Универсам,Пятерочка,да,реализация продовольственных товаров,"город Москва, Онежская улица, дом 2А",Головинский район,Северный административный округ,37.52221035560669,55.843450604917095,1896106.7092805144,6420588.619962527
2,24,24,Магнит,Универсам,Магнит,да,реализация продовольственных товаров,"город Москва, Синельниковская улица, дом 45А",район Южное Бутово,Юго-Западный административный округ,37.572703881700704,55.54309101875911,1910289.999671108,6389257.331808022
3,31,31,Магнит Косметик,Универмаг,Магнит,да,реализация непродовольственных товаров,"город Москва, улица Лескова, дом 26А",район Бибирево,Северо-Восточный административный округ,37.613055279504316,55.89449498937614,1899719.0761657408,6427983.827371263
4,40,40,Магнит,Универсам,Магнит,да,реализация продовольственных товаров,"город Москва, Онежская улица, дом 34, корпус 1",Головинский район,Северный административный округ,37.511466130168955,55.858458648765314,1894900.1038494112,6421982.863231325
5,47,47,Перекресток,Супермаркет,Перекресток,да,реализация продовольственных товаров,"город Москва, Воротынская улица, дом 18",район Куркино,Северо-Западный административный округ,37.38843208568675,55.889912462423325,1886282.7579096784,6422822.967124603
6,78,78,Colabeans,Супермаркет,,нет,реализация продовольственных товаров,"город Москва, Преображенская площадь, дом 6",район Преображенское,Восточный административный округ,37.71117307043113,55.79481665417677,1909378.3750698925,6419299.1739208875
7,93,93,Дикси,Универсам,Дикси,да,реализация продовольственных товаров,"город Москва, Скобелевская улица, дом 4",район Южное Бутово,Юго-Западный административный округ,37.55408430517004,55.550951390661076,1908860.927677778,6389714.9751440585
8,97,97,Пятерочка,Универсам,Пятерочка,да,реализация продовольственных товаров,"город Москва, Изюмская улица, дом 22, корпус 3",район Южное Бутово,Юго-Западный административный округ,37.557270948403136,55.551913375307386,1909020.2260584643,6389885.474965853
9,103,103,Дикси,Универсам,Дикси,да,реализация продовольственных товаров,"город Москва, Новодевичий проезд, дом 2",район Хамовники,Центральный административный округ,37.56020686982772,55.72804323484867,1902685.4472305411,6408939.656911705
10,104,104,Верный,Супермаркет,Верный,да,реализация продовольственных товаров,"город Москва, улица Дмитриевского, дом 11А",район Косино-Ухтомский,Восточный административный округ,37.891837,55.708628000000004,1923581.0570690315,6413829.249728254
11,113,113,Магнолия,Супермаркет,Магнолия,да,реализация продовольственных товаров,"город Москва, Сретенский бульвар, дом 6/1, строение 2",Красносельский район,Центральный административный округ,37.63469495940715,55.76570362929068,1905817.6992208469,6414557.4288723
12,128,128,Дикси,Супермаркет,Дикси,да,реализация продовольственных товаров,"город Москва, Верхняя Первомайская улица, дом 61",район Восточное Измайлово,Восточный административный округ,37.806369642755506,55.79960717631597,1914976.223722112,6421819.8155474225
13,136,136,Магнит,Супермаркет,Магнит,да,реализация продовольственных товаров,"город Москва, Кусковская улица, дом 21, корпус 1",район Новогиреево,Восточный административный округ,37.77977428269673,55.739712964246294,1915603.040942244,6414806.792501207
14,144,144,Билла,Универсам,Билла,да,реализация продовольственных товаров,"город Москва, улица Академика Королёва, дом 8А",Останкинский район,Северо-Восточный административный округ,37.623241,55.822281000000004,1903019.998221436,6420415.059048204
15,150,150,Верный,Универсам,Верный,да,реализация продовольственных товаров,"город Москва, улица Конёнкова, дом 13, строение 2",поселение Десеновское,Новомосковский административный округ,37.3631,55.5328,1897844.559263821,6383773.836107591
16,157,157,Супермаркет «Дикси»,Супермаркет,Дикси,да,реализация продовольственных товаров,"город Москва, Марксистская улица, дом 9",Таганский район,Центральный административный округ,37.667778630641905,55.73496809823888,1908971.4435822119,6411938.675732868
17,161,161,Билла,Супермаркет,Билла,да,реализация продовольственных товаров,"город Москва, Анадырский проезд, дом 63А",Лосиноостровский район,Северо-Восточный административный округ,37.708572,55.880303000000005,1906031.0854318663,6428454.1918925885
