,index,Unnamed: 0,Name,TypeObject,OperatingCompany,IsNetObject,TypeService,Address,District,AdmArea,Longitude_WGS84,Latitude_WGS84,Xs,Ys
0,4,4,"Меховое , кожанное ателье","ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий",,нет,бытовые услуги,"город Москва, Абельмановская улица, дом 7",Таганский район,Центральный административный округ,37.67179852591725,55.73617505622192,1909170.9730873937,6412153.1400599815
1,10,10,Ателье,"ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий",,нет,бытовые услуги,"город Москва, Абрамцевская улица, дом 4, корпус 1",район Лианозово,Северо-Восточный административный округ,37.576574944119,55.8930635141243,1897563.3231953576,6427068.361680176
2,31,31,МЕХОВОЕ АТЕЛЬЕ «OLEDE»,"ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий",,нет,бытовые услуги,"город Москва, Авиационная улица, дом 67, корпус 1",район Щукино,Северо-Западный административный округ,37.45364451855218,55.80915041333754,1893212.326969632,6415465.432711735
3,34,34,Ателье,"ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий",,нет,бытовые услуги,"город Москва, улица Авиаторов, дом 14",район Солнцево,Западный административный округ,37.398170465791004,55.6450587428343,1895872.2305285712,6396615.408565075
4,40,40,Слаповская Н.В.,"ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий",,нет,бытовые услуги,"город Москва, улица Авиаторов, дом 18",район Солнцево,Западный административный округ,37.40001948007129,55.644599201652404,1896001.9154802419,6396604.219907426
5,49,49,Ателье,"ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий",,нет,бытовые услуги,"город Москва, Автозаводская улица, дом 13/1",Даниловский район,Южный административный округ,37.656424,55.705402,1909380.198449221,6408513.746430477
6,58,58,Ателье,"ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий",,нет,бытовые услуги,"город Москва, Азовская улица, дом 6, корпус 1",район Зюзино,Юго-Западный административный округ,37.60043672061701,55.659558539684575,1907671.860452875,6402397.746740786
7,73,73,Ателье,"ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий",,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 12",район Отрадное,Северо-Восточный административный округ,37.585663431254005,55.854091893281996,1899559.9711007331,6423058.088240612
8,76,76,МЕЛКИЙ РЕМОНТ ОДЕЖДЫ,"ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий",,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 56",Алтуфьевский район,Северо-Восточный административный округ,37.5877551237295,55.8807796267,1898696.3078365896,6425977.788536333
9,81,81,РЕМОНТ ОДЕЖДЫ,"ремонт и пошив швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонт, пошив и вязание трикотажных изделий",,нет,бытовые услуги,"город Москва, Алтуфьевское шоссе, дом 64",Алтуфьевский район,Северо-Восточный административный округ,37.5878509508198,55.885324080497696,1898533.4284917011,6426469.5093935
